feature,source_column,horizon,dates,mean_rank_ic,median_rank_ic,positive_ic_rate,ic_volatility,status
raw_target_return_exact,expected_total_return,1d,220.0,0.006874083995818532,0.01909358863986057,0.5227272727272727,0.26728823166584487,ok
raw_target_return_exact,expected_total_return,5d,220.0,0.015519024798794686,0.02567237163814181,0.5318181818181819,0.2598503894884241,ok
raw_target_return_exact,expected_total_return,10d,220.0,0.030982573458293788,0.035828528998232606,0.5636363636363636,0.2660557215835422,ok
raw_target_return_exact,expected_total_return,20d,220.0,0.038615769094581955,0.05226161369193155,0.6,0.2547933881804355,ok
raw_target_return_exact,expected_total_return,40d,,,,,,missing_target
raw_target_return_exact,expected_total_return,60d,,,,,,missing_target
kalman,,,,,,,,missing
hurst,,,,,,,,missing
ou,,,,,,,,missing
garch,,,,,,,,missing
entropy,,,,,,,,missing
regime,,,,,,,,missing
signal_strength,signal_strength,1d,220.0,0.014361534505308006,0.019559902200488997,0.5227272727272727,0.2872114960121611,ok
signal_strength,signal_strength,5d,220.0,-0.00644066053967661,-0.013568343349248346,0.4727272727272727,0.2802186597157694,ok
signal_strength,signal_strength,10d,220.0,-0.0043157203265845705,0.01589242053789731,0.509090909090909,0.2828342960204946,ok
signal_strength,signal_strength,20d,220.0,0.005693371563662152,-0.0036674816625916875,0.4954545454545455,0.28672279632183045,ok
signal_strength,signal_strength,40d,,,,,,missing_target
signal_strength,signal_strength,60d,,,,,,missing_target
