date,available_investable_capital,actually_invested_capital,unused_capital,primary_reason,selected_count,dual_trend_cap,uncapped_volatility_target_exposure
2008-12-31,1.0,0.25,0.75,volatility targeting,2,0.25,0.6
2009-01-08,1.0,0.25,0.75,volatility targeting,4,0.25,0.6
2009-01-15,1.0,0.25,0.75,volatility targeting,4,0.25,0.6
2009-01-23,1.0,0.25,0.75,volatility targeting,4,0.25,0.6
2009-01-30,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-02-06,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-02-13,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-02-23,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-03-02,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-03-09,1.0,0.25,0.75,dual trend,3,0.25,0.75
2009-03-16,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-03-23,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-03-30,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-04-06,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-04-14,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-04-21,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-04-28,1.0,0.25,0.75,dual trend,4,0.25,0.75
2009-05-05,1.0,0.4,0.6,volatility targeting,4,0.4,0.75
2009-05-12,1.0,0.4,0.6,volatility targeting,4,0.4,0.7233805938378775
2009-05-19,1.0,0.4,0.6,volatility targeting,4,0.4,0.75
2009-05-27,1.0,0.4,0.6,volatility targeting,4,0.4,0.7428624635886631
2009-06-03,1.0,0.6,0.4,volatility targeting,4,0.6,0.7331864082479553
2009-06-10,1.0,0.6,0.4,volatility targeting,4,0.6,0.7371947777416442
2009-06-17,1.0,0.6,0.4,volatility targeting,4,0.6,0.6590221481222857
2009-06-24,1.0,0.6,0.4,volatility targeting,4,0.6,0.661808204615481
2009-07-01,1.0,0.6,0.4,volatility targeting,4,0.6,0.662307362631095
2009-07-09,1.0,0.6,0.4,volatility targeting,4,0.6,0.6551195263428207
2009-07-16,1.0,0.6,0.4,volatility targeting,4,0.6,0.6531676052877422
2009-07-23,1.0,0.6,0.4,volatility targeting,4,0.6,0.6391147774866809
