company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Altaba Inc.,AABA,AABA,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
American Airlines Group Inc,AAL,AAL,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Advanced Auto Parts Inc,AAP,AAP,NYSE,14:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Apple Inc.,AAPL,AAPL,NASDAQ,20:1,True,True,False,False,True,cedears_byma_list.txt,parsed
AbbVie Inc.,ABBV,ABBV,NYSE,10:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Ambev S.A.,ABEV,ABEV,NASDAQ,1:3,True,True,False,False,True,cedears_byma_list.txt,parsed
Ambev S.A.,ABEV3,ABEV3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Airbnb Inc,ABNB,ABNB,NASDAQ GS,15:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Abbott Labs,ABT,ABT,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Accenture,ACN,ACN,NYSE,75:1,True,False,True,False,True,cedears_byma_list.txt,parsed
iShares MSCI ACWI ETF,ACWI,ACWI,NASDAQ,26:1,True,True,False,True,True,cedears_byma_list.txt,parsed
Adobe Systems Incorporated,ADBE,ADBE,NASDAQ,44:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Adecoagro S.A.,ADGO,ADGO,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Analog Devices,ADI,ADI,NASDAQ,15:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Automatic Data Processing Inc.,ADP,ADP,NASDAQ,6:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Adidas AG,ADS,ADS,XETRA,22:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Aegon N.V.,AEG,AEG,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Agnico Eagle Mines Limited,AEM,AEM,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
