id,timestamp,module,severity,category,description,trigger_value,threshold,status,resolved,acknowledged,source_file,first_seen,last_seen,occurrences,resolved_date,acknowledged_date,duration_days
ALT-7A7BD7681C,2026-08-13 15:50:40,Risk,WARNING,Risk,Portfolio volatility exceeds target,0.4732787829801202,0.22,OPEN,False,False,growth_official_paper_performance.csv,2026-08-13 15:47:16,2026-08-13 15:50:40,2,,,0
ALT-9703B4FBB5,2026-08-13 15:50:40,Market Data,WARNING,Market Data,Missing second provider,SINGLE_SOURCE_FRESH,multi_source_confirmed,OPEN,False,False,official_market_data_governance.csv,2026-07-14 20:39:09,2026-08-13 15:50:40,21,,,29
ALT-B25CA861D9,2026-08-13 15:50:40,Governance,BLOCKER,Governance,Real capital blocked,real_capital_blocked,promotion allowed,OPEN,False,False,growth_official_paper_monitor.csv,2026-07-14 20:39:09,2026-08-13 15:50:40,21,,,29
ALT-4F77D0036F,2026-08-13 15:50:40,Governance,NOTICE,Governance,Forward history too short,official_forward_warmup,minimum paper history,OPEN,False,False,growth_official_paper_monitor.csv,2026-07-14 20:39:09,2026-08-13 15:50:40,21,,,29
ALT-792DA776E8,2026-08-13 15:50:40,Governance,WARNING,Governance,PBO elevated,0.6940115440115441,0.50,OPEN,False,False,anti_overfitting_governance.csv,2026-07-14 20:39:09,2026-08-13 15:50:40,21,,,29
ALT-680FE5D54B,2026-07-21 09:37:41,Risk,NOTICE,Risk,Cash above configured maximum,0.5962376282132245,0.55,RESOLVED,True,False,growth_official_paper_performance.csv,2026-07-14 20:39:09,2026-07-28 09:38:44,18,2026-07-28 09:38:44,,13
ALT-7A17C685BA,2026-07-19 15:24:07,Portfolio,INFO,Portfolio,New holding enters,"OKLO,TEAM",BUY,RESOLVED,True,False,growth_official_paper_actions.csv,2026-07-19 15:23:33,2026-07-21 09:37:41,2,2026-07-21 09:37:41,,1
ALT-CB90297098,2026-07-19 15:24:07,Portfolio,NOTICE,Portfolio,Holding exits,SE,SELL,RESOLVED,True,False,growth_official_paper_actions.csv,2026-07-19 15:23:33,2026-07-21 09:37:41,2,2026-07-21 09:37:41,,1
ALT-5AE7F61450,2026-07-19 15:24:07,Portfolio,NOTICE,Portfolio,Weight reduces significantly,"ARM,BABA",REDUCE,RESOLVED,True,False,growth_official_paper_actions.csv,2026-07-19 15:23:33,2026-07-21 09:37:41,2,2026-07-21 09:37:41,,1
ALT-0F1659F340,2026-07-14 20:39:09,Decision Engine,WARNING,Decision Engine,Missing dashboard integrity file,missing,file required,RESOLVED,True,False,decision_engine_integrity.csv,2026-07-14 20:39:09,2026-07-14 20:39:41,1,2026-07-14 20:39:41,,0
