model,calibration_method,threshold,sample_reduction,trades_kept,TP_rate,SL_rate,hit_rate,average_return,Sharpe,max_drawdown
logistic_regression,isotonic,0.65,0.5722713864306785,145,0.36551724137931035,0.06896551724137931,0.6689655172413793,0.0684518641745028,1.4717316124578725,-0.48762744142529035
logistic_regression,isotonic,0.55,0.5486725663716814,153,0.3464052287581699,0.06535947712418301,0.6470588235294118,0.06388424705105332,1.3999571973638478,-0.4876274414252906
logistic_regression,isotonic,0.6,0.5486725663716814,153,0.3464052287581699,0.06535947712418301,0.6470588235294118,0.06388424705105332,1.3999571973638478,-0.4876274414252906
random_forest_small,platt,0.6,0.34513274336283184,222,0.3108108108108108,0.08108108108108109,0.5945945945945946,0.037637497215197366,1.2823271688737001,-0.44193224798423214
logistic_regression,raw,0.5,0.4896755162241888,173,0.32947976878612717,0.08092485549132948,0.6416184971098265,0.05666324001114219,1.274216648421258,-0.6394585831299981
random_forest_small,raw,0.5,0.36283185840707965,216,0.3194444444444444,0.08333333333333333,0.5925925925925926,0.03721322794477499,1.2584274016597483,-0.4166320020889692
random_forest_small,platt,0.55,0.2625368731563422,250,0.308,0.12,0.576,0.031189962305507607,1.0082427246464478,-0.5387790572033899
average_probability_ensemble,isotonic,0.6,0.5132743362831859,165,0.3090909090909091,0.09696969696969697,0.5636363636363636,0.03141846297342231,1.0075752443664183,-0.4785196841500098
random_forest_small,isotonic,0.55,0.29793510324483774,238,0.29831932773109243,0.11764705882352941,0.5714285714285714,0.030144646625741244,1.0000525595691518,-0.4435448075544338
random_forest_small,isotonic,0.6,0.29793510324483774,238,0.29831932773109243,0.11764705882352941,0.5714285714285714,0.030144646625741244,1.0000525595691518,-0.4435448075544338
random_forest_small,isotonic,0.65,0.29793510324483774,238,0.29831932773109243,0.11764705882352941,0.5714285714285714,0.030144646625741244,1.0000525595691518,-0.4435448075544338
logistic_regression,platt,0.5,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
logistic_regression,platt,0.55,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
logistic_regression,platt,0.6,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
logistic_regression,isotonic,0.5,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
gradient_boosting_small,platt,0.5,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
gradient_boosting_small,platt,0.55,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
gradient_boosting_small,platt,0.6,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
gradient_boosting_small,isotonic,0.5,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
average_probability_ensemble,platt,0.5,0.0,339,0.3185840707964602,0.12389380530973451,0.5693215339233039,0.03831061388583982,0.9826550525949733,-0.8971178970111036
random_forest_small,isotonic,0.5,0.2802359882005899,244,0.3073770491803279,0.12295081967213115,0.5737704918032787,0.028891659004069852,0.9614745901472623,-0.5343680116165468
average_probability_ensemble,isotonic,0.55,0.2743362831858407,246,0.2967479674796748,0.12195121951219512,0.5772357723577236,0.029204126831831368,0.9529900623663409,-0.5343680116165468
