audit_date,latest_growth_date,classification,warnings,production_changed,paper_changed,parameter_changed,module,required_for_growth_champion_final,present_or_executed,source,notes
2026-07-14,2026-07-13,daily_pipeline_ready,none,False,False,False,,,,,
,,,,,,,raw_target_return_exact_generation,True,True,current_raw_target_features.csv / expected return diagnostics,
,,,,,,,raw_target_ranking,True,True,current_growth_features.csv,
,,,,,,,soft_exit_rule,True,True,current_growth_feature_generation.py,
,,,,,,,volatility_target_22pct,True,True,growth_candidate_paper_config.json/current allocation,
,,,,,,,exposure_cap_60,True,True,growth_candidate_paper_config.json/current allocation,
,,,,,,,dual_trend_filter,True,True,current growth pipeline source code,
,,,,,,,final_weight_construction,True,True,current_growth_candidate_allocation.csv,
,,,,,,,paper_state_update,True,True,growth_candidate_paper_state.csv,
,,,,,,,trades_log_update,True,True,growth_candidate_paper_trades.csv,
,,,,,,,performance_update,True,True,growth_candidate_paper_performance.csv,
,,,,,,,governance_update,True,True,growth paper monitor/governance files,
,,,,,,,daily_runner_generates_growth_features,True,True,daily_research_run.py --growth-paper branch,
,,,,,,,paper_requires_or_warns_exact_raw,True,True,growth_candidate_paper_trading.py,
,,,,,,,expected_returns_exposes_raw_diagnostics,True,True,expected_returns_model.py,
