window_start,model_scope,cost_scenario,all_in_cost_bps,average_annual_cost_drag,total_cost_drag,CAGR_drag_vs_zero_cost,average_turnover,breakeven_cost_vs_QQQ,breakeven_cost_vs_SPY
2008-01-01,window,zero_cost,0.0,0.0,0.0,0.0,0.09435869067067636,0.0,75.0
2015-01-01,window,zero_cost,0.0,0.0,0.0,0.0,0.08933999074054086,75.0,>75bps
2020-01-01,window,zero_cost,0.0,0.0,0.0,0.0,0.09338561018780271,>75bps,>75bps
2022-01-03,window,zero_cost,0.0,0.0,0.0,0.0,0.0965772131485976,>75bps,>75bps
2008-01-01,window,very_low_cost,3.0,0.001477050504319909,0.3716401198980659,0.0016604808357358891,0.09435869067067636,0.0,75.0
2015-01-01,window,very_low_cost,3.0,0.0013984899264849666,0.1393283019826974,0.0016765679750840867,0.08933999074054086,75.0,>75bps
2020-01-01,window,very_low_cost,3.0,0.0014618183194754974,0.030394325126378963,0.0018105285026350781,0.09338561018780271,>75bps,>75bps
2022-01-03,window,very_low_cost,3.0,0.0015117783043939405,0.027025310187253737,0.0023722469287696946,0.0965772131485976,>75bps,>75bps
2008-01-01,window,realistic_us_liquid,7.0,0.003446451176746455,0.8530721063100231,0.0038709190776795577,0.09435869067067636,0.0,75.0
2015-01-01,window,realistic_us_liquid,7.0,0.0032631431617982554,0.32209994141923737,0.003908623657062238,0.08933999074054086,75.0,>75bps
2020-01-01,window,realistic_us_liquid,7.0,0.0034109094121094943,0.07056290096406759,0.004220760212039876,0.09338561018780271,>75bps,>75bps
2022-01-03,window,realistic_us_liquid,7.0,0.003527482710252528,0.0628530800098277,0.005530098013210694,0.0965772131485976,>75bps,>75bps
2008-01-01,window,conservative,15.0,0.007385252521599545,1.7695744973661505,0.00827969805167661,0.09435869067067636,0.0,75.0
2015-01-01,window,conservative,15.0,0.0069924496324248325,0.6775946157928079,0.008361210471156122,0.08933999074054086,75.0,>75bps
2020-01-01,window,conservative,15.0,0.007309091597377486,0.14969067184167528,0.009028201744084585,0.09338561018780271,>75bps,>75bps
2022-01-03,window,conservative,15.0,0.007558891521969702,0.133808108527238,0.011828200245111775,0.0965772131485976,>75bps,>75bps
2008-01-01,window,stress,35.0,0.01723225588373227,3.8128824631841702,0.019231406776050397,0.09435869067067636,0.0,75.0
2015-01-01,window,stress,35.0,0.016315715808991275,1.5105256328072603,0.01942574680194653,0.08933999074054086,75.0,>75bps
2020-01-01,window,stress,35.0,0.01705454706054747,0.3406413629344396,0.02097119502398659,0.09338561018780271,>75bps,>75bps
2022-01-03,window,stress,35.0,0.01763741355126264,0.3071792636155939,0.027471278586928216,0.0965772131485976,>75bps,>75bps
2008-01-01,window,extreme,75.0,0.03692626260799772,7.014196947573478,0.04083678464314944,0.09435869067067636,0.0,75.0
2015-01-01,window,extreme,75.0,0.034962248162124156,2.9608065378728394,0.04127064866369601,0.08933999074054086,75.0,>75bps
2020-01-01,window,extreme,75.0,0.036545457986887436,0.6947252167293407,0.04453630418991317,0.09338561018780271,>75bps,>75bps
2022-01-03,window,extreme,75.0,0.03779445760984851,0.6373269084560027,0.058323952405590296,0.0965772131485976,>75bps,>75bps
