date,original_rebalance,paper_scheduler_rebalance,match
2023-01-04,True,True,True
2023-01-11,True,True,True
2023-01-19,True,True,True
2023-01-26,True,True,True
2023-02-02,True,True,True
2023-02-09,True,True,True
2023-02-16,True,True,True
2023-02-24,True,True,True
2023-03-03,True,True,True
2023-03-10,True,True,True
2023-03-17,True,True,True
2023-03-24,True,True,True
2023-03-31,True,True,True
2023-04-10,True,True,True
2023-04-17,True,True,True
2023-04-24,True,True,True
2023-05-01,True,True,True
2023-05-08,True,True,True
2023-05-15,True,True,True
2023-05-22,True,True,True
2023-05-30,True,True,True
2023-06-06,True,True,True
2023-06-13,True,True,True
2023-06-21,True,True,True
2023-06-28,True,True,True
2023-07-06,True,True,True
2023-07-13,True,True,True
2023-07-20,True,True,True
2023-07-27,True,True,True
2023-08-03,True,True,True
2023-08-10,True,True,True
2023-08-17,True,True,True
2023-08-24,True,True,True
2023-08-31,True,True,True
2023-09-08,True,True,True
2023-09-15,True,True,True
2023-09-22,True,True,True
2023-09-29,True,True,True
2023-10-06,True,True,True
2023-10-13,True,True,True
2023-10-20,True,True,True
2023-10-27,True,True,True
2023-11-03,True,True,True
2023-11-10,True,True,True
2023-11-17,True,True,True
2023-11-27,True,True,True
2023-12-04,True,True,True
2023-12-11,True,True,True
2023-12-18,True,True,True
2023-12-26,True,True,True
2024-01-03,True,True,True
2024-01-10,True,True,True
2024-01-18,True,True,True
2024-01-25,True,True,True
2024-02-01,True,True,True
2024-02-08,True,True,True
2024-02-15,True,True,True
2024-02-23,True,True,True
2024-03-01,True,True,True
2024-03-08,True,True,True
2024-03-15,True,True,True
2024-03-22,True,True,True
2024-04-01,True,True,True
2024-04-08,True,True,True
2024-04-15,True,True,True
2024-04-22,True,True,True
2024-04-29,True,True,True
2024-05-06,True,True,True
2024-05-13,True,True,True
2024-05-20,True,True,True
2024-05-28,True,True,True
2024-06-04,True,True,True
2024-06-11,True,True,True
2024-06-18,True,True,True
2024-06-26,True,True,True
2024-07-03,True,True,True
2024-07-11,True,True,True
2024-07-18,True,True,True
2024-07-25,True,True,True
2024-08-01,True,True,True
2024-08-08,True,True,True
2024-08-15,True,True,True
2024-08-22,True,True,True
2024-08-29,True,True,True
2024-09-06,True,True,True
2024-09-13,True,True,True
2024-09-20,True,True,True
2024-09-27,True,True,True
2024-10-04,True,True,True
2024-10-11,True,True,True
2024-10-18,True,True,True
2024-10-25,True,True,True
2024-11-01,True,True,True
2024-11-08,True,True,True
2024-11-15,True,True,True
2024-11-22,True,True,True
2024-12-02,True,True,True
2024-12-09,True,True,True
2024-12-16,True,True,True
2024-12-23,True,True,True
2024-12-31,True,True,True
2025-01-08,True,True,True
2025-01-16,True,True,True
2025-01-24,True,True,True
2025-01-31,True,True,True
2025-02-07,True,True,True
2025-02-14,True,True,True
2025-02-24,True,True,True
2025-03-03,True,True,True
2025-03-10,True,True,True
2025-03-17,True,True,True
2025-03-24,True,True,True
2025-03-31,True,True,True
2025-04-07,True,True,True
2025-04-14,True,True,True
2025-04-22,True,True,True
2025-04-29,True,True,True
2025-05-06,True,True,True
2025-05-13,True,True,True
2025-05-20,True,True,True
2025-05-28,True,True,True
2025-06-04,True,True,True
2025-06-11,True,True,True
2025-06-18,True,True,True
2025-06-26,True,True,True
2025-07-03,True,True,True
2025-07-11,True,True,True
2025-07-18,True,True,True
2025-07-25,True,True,True
2025-08-01,True,True,True
2025-08-08,True,True,True
2025-08-15,True,True,True
2025-08-22,True,True,True
2025-08-29,True,True,True
2025-09-08,True,True,True
2025-09-15,True,True,True
2025-09-22,True,True,True
2025-09-29,True,True,True
2025-10-06,True,True,True
2025-10-13,True,True,True
2025-10-20,True,True,True
2025-10-27,True,True,True
2025-11-03,True,True,True
2025-11-10,True,True,True
2025-11-17,True,True,True
2025-11-24,True,True,True
2025-12-02,True,True,True
2025-12-09,True,True,True
2025-12-16,True,True,True
2025-12-23,True,True,True
2025-12-31,True,True,True
2026-01-08,True,True,True
2026-01-15,True,True,True
2026-01-23,True,True,True
2026-01-30,True,True,True
2026-02-06,True,True,True
2026-02-13,True,True,True
2026-02-23,True,True,True
2026-03-02,True,True,True
2026-03-09,True,True,True
2026-03-16,True,True,True
2026-03-23,True,True,True
2026-03-30,True,True,True
2026-04-07,True,True,True
2026-04-14,True,True,True
2026-04-21,True,True,True
2026-04-28,True,True,True
2026-05-05,True,True,True
2026-05-12,True,True,True
2026-05-19,True,True,True
2026-05-27,True,True,True
2026-06-03,True,True,True
2026-06-10,True,True,True
