date,feature,IC_5D,IC_10D,IC_20D,Average_IC
2026-06-15,expected_daily_return,,,,
2026-06-15,expected_total_return,,,,
2026-06-15,target_confidence,,,,
2026-06-15,signal_strength,,,,
2026-06-15,quality_score,,,,
2026-06-15,expected_daily_return,,,,
2026-06-15,expected_total_return,,,,
2026-06-15,target_confidence,,,,
2026-06-15,signal_strength,,,,
2026-06-15,quality_score,,,,
2026-06-15,expected_daily_return,,,,
2026-06-15,expected_total_return,,,,
2026-06-15,target_confidence,,,,
2026-06-15,signal_strength,,,,
2026-06-15,quality_score,,,,
2026-06-15,expected_daily_return,,,,
2026-06-15,expected_total_return,,,,
2026-06-15,target_confidence,,,,
2026-06-15,signal_strength,,,,
2026-06-15,quality_score,,,,
2026-06-16,expected_daily_return,,,,
2026-06-16,expected_total_return,,,,
2026-06-16,target_confidence,,,,
2026-06-16,signal_strength,,,,
2026-06-16,quality_score,,,,
2026-06-17,expected_daily_return,,,,
2026-06-17,expected_total_return,,,,
2026-06-17,target_confidence,,,,
2026-06-17,signal_strength,,,,
2026-06-17,quality_score,,,,
2026-06-17,expected_daily_return,,,,
2026-06-17,expected_total_return,,,,
2026-06-17,target_confidence,,,,
2026-06-17,signal_strength,,,,
2026-06-17,quality_score,,,,
2026-06-17,expected_daily_return,,,,
2026-06-17,expected_total_return,,,,
2026-06-17,target_confidence,,,,
2026-06-17,signal_strength,,,,
2026-06-17,quality_score,,,,
2026-06-18,expected_daily_return,,,,
2026-06-18,expected_total_return,,,,
2026-06-18,target_confidence,,,,
2026-06-18,signal_strength,,,,
2026-06-18,quality_score,,,,
2026-06-19,expected_daily_return,,,,
2026-06-19,expected_total_return,,,,
2026-06-19,target_confidence,,,,
2026-06-19,signal_strength,,,,
2026-06-19,quality_score,,,,
2026-06-19,raw_target_return_exact,,,,
2026-06-19,raw_expected_daily_return_exact,,,,
2026-06-19,raw_target_price_exact,,,,
2026-06-19,time_to_target,,,,
2026-06-19,signal_strength_adjustment_value,,,,
2026-06-19,final_expected_return_after_adjustments,,,,
2026-06-22,quality_score,0.17650355079612046,,,0.17650355079612046
2026-06-22,expected_daily_return,0.042139466680947826,,,0.042139466680947826
2026-06-22,target_confidence,-0.015432244052830852,,,-0.015432244052830852
2026-06-22,expected_total_return,-0.030172577781882353,,,-0.030172577781882353
2026-06-22,signal_strength,-0.12121456377732678,,,-0.12121456377732678
2026-06-22,raw_target_return_exact,,,,
2026-06-22,raw_expected_daily_return_exact,,,,
2026-06-22,raw_target_price_exact,,,,
2026-06-22,time_to_target,,,,
2026-06-22,signal_strength_adjustment_value,,,,
2026-06-22,final_expected_return_after_adjustments,,,,
2026-06-23,quality_score,0.10803469660940233,,,0.10803469660940233
2026-06-23,target_confidence,-0.024961933367983788,,,-0.024961933367983788
2026-06-23,expected_daily_return,-0.037661940741211895,,,-0.037661940741211895
2026-06-23,expected_total_return,-0.11120834833990542,,,-0.11120834833990542
2026-06-23,signal_strength,-0.11948708366171866,,,-0.11948708366171866
2026-06-23,raw_target_return_exact,,,,
2026-06-23,raw_expected_daily_return_exact,,,,
2026-06-23,raw_target_price_exact,,,,
2026-06-23,time_to_target,,,,
2026-06-23,signal_strength_adjustment_value,,,,
2026-06-23,final_expected_return_after_adjustments,,,,
