fold,candidate,model,calibration_method,threshold,sample_reduction,trades,average_return,Sharpe,Sortino,Calmar,max_drawdown,TP_rate,SL_rate,hit_rate,precision,recall,ROC_AUC,Brier
1,current_system_unfiltered,none,none,,0.0,100,0.05644078624568886,1.949817033581908,3.8388862265749943,1.7445213345980954,-0.40764987655454266,0.5,0.09,0.75,,,,
1,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.63,37,0.07078298868581563,2.3167996327313523,4.571679701127351,2.179318292035772,-0.4092406605774672,0.5405405405405406,0.02702702702702703,0.7567567567567568,0.7567567567567568,0.37333333333333335,0.5029333333333333,0.2099834519924703
1,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.0,100,0.05644078624568886,1.949817033581908,3.8388862265749943,1.7445213345980954,-0.40764987655454266,0.5,0.09,0.75,0.75,1.0,0.33866666666666667,0.20231811284541504
2,current_system_unfiltered,none,none,,0.0,100,0.0406983795425099,1.9637453193037349,5.713537519597555,1.7290213464221955,-0.29658371962656405,0.28,0.09,0.72,,,,
2,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.51,49,0.03439448255596443,1.3942774548296395,5.516129738967336,1.20938685566004,-0.35833900308816713,0.22448979591836735,0.12244897959183673,0.5306122448979592,0.5306122448979592,0.3611111111111111,0.22867063492063494,0.29762232463441035
2,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.06000000000000005,94,0.045314237553609735,2.1967993339020264,6.212103165181356,1.9143146919259404,-0.2982578546691588,0.2978723404255319,0.0851063829787234,0.7553191489361702,0.7553191489361702,0.9861111111111112,0.4010416666666667,0.21886608439723418
3,current_system_unfiltered,none,none,,0.0,100,0.001094952675771532,0.04713909567082972,0.0641206487672406,0.014849462712358128,-0.9290843703886713,0.36,0.24,0.55,,,,
3,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.0,100,0.001094952675771532,0.04713909567082972,0.0641206487672406,0.014849462712358128,-0.9290843703886713,0.36,0.24,0.55,0.61,1.0,0.5163934426229508,0.25195239457764446
3,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.0,100,0.001094952675771532,0.04713909567082972,0.0641206487672406,0.014849462712358128,-0.9290843703886713,0.36,0.24,0.55,0.61,1.0,0.5153425809163514,0.2525907193544445
4,current_system_unfiltered,none,none,,0.0,100,0.02054718872898266,0.8256373311386705,1.6267797676445195,0.3893893232044148,-0.6648733351357751,0.22,0.18,0.64,,,,
4,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.0,100,0.02054718872898266,0.8256373311386705,1.6267797676445195,0.3893893232044148,-0.6648733351357751,0.22,0.18,0.64,0.64,1.0,0.5,0.2308639053254438
4,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.0,100,0.02054718872898266,0.8256373311386705,1.6267797676445195,0.3893893232044148,-0.6648733351357751,0.22,0.18,0.64,0.64,1.0,0.41796875,0.23539911304606573
5,current_system_unfiltered,none,none,,0.0,100,-0.01493483776222454,-0.5736945050007124,-1.1069684023570776,-0.19470362462251026,-0.966489227762806,0.24,0.26,0.4,,,,
5,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.55,45,-0.011546939793774809,-0.36911857063284165,-0.7141628647063852,-0.16208444038328912,-0.8976274407186264,0.26666666666666666,0.2222222222222222,0.37777777777777777,0.4222222222222222,0.4523809523809524,0.5513136288998357,0.2886598608350519
5,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.15000000000000002,85,-0.012348461169540359,-0.47771396920637244,-0.9657030209057444,-0.16513004710062748,-0.9422307657999651,0.23529411764705882,0.24705882352941178,0.4,0.4235294117647059,0.8571428571428571,0.5012315270935961,0.28541348680095796
6,current_system_unfiltered,none,none,,0.0,100,0.033362638833729454,0.9004192507058656,2.0714653512163728,0.4519899900011614,-0.9300410597675204,0.21,0.36,0.65,,,,
6,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.5700000000000001,43,0.04699610460945709,1.5477124555570043,4.980642241631907,2.0317893286465183,-0.29144306928397057,0.18604651162790697,0.37209302325581395,0.6511627906976745,0.6511627906976745,0.4307692307692308,0.501978021978022,0.2591343730678696
6,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,0.96,4,-0.033511912928085946,-2.4945937603767736,0.0,-2.710180536102261,-0.15580146682816798,0.0,1.0,0.5,0.5,0.03076923076923077,0.5479120879120879,0.24108793800999762
7,current_system_unfiltered,none,none,,0.0,100,0.036069849316734015,1.5269260365318476,2.4765847385100965,1.0985106184983051,-0.41372390374535994,0.25,0.1,0.69,,,,
7,logistic_regression_isotonic_0.65,logistic_regression,isotonic,0.65,0.9299999999999999,7,0.07224945166107065,3.1771863926727137,0.0,0.0,0.0,0.5714285714285714,0.0,0.8571428571428571,0.8571428571428571,0.08,0.47413333333333335,0.2540281064161608
7,gradient_boosting_small_platt_0.6,gradient_boosting_small,platt,0.6,1.0,0,,,,,,,,,0.0,0.0,0.4256,0.24106995274001217
