model,bucket,sample_size,avg_predicted_probability,actual_positive_rate,calibration_error
logistic_regression,"(0.479, 0.493]",102,0.4874681044338297,0.5490196078431373,0.061551503409307595
logistic_regression,"(0.493, 0.498]",103,0.4958013737636526,0.6019417475728155,0.10614037380916291
logistic_regression,"(0.498, 0.504]",101,0.5012415256674357,0.5544554455445545,0.053213919877118765
logistic_regression,"(0.504, 0.511]",102,0.5082560879068307,0.7058823529411765,0.19762626503434577
logistic_regression,"(0.511, 0.659]",101,0.5234982656611438,0.6732673267326733,0.14976906107152954
random_forest_small,"(0.33, 0.428]",104,0.3864061320196218,0.5961538461538461,0.20974771413422433
random_forest_small,"(0.428, 0.508]",101,0.47182273010656434,0.5544554455445545,0.08263271543799017
random_forest_small,"(0.508, 0.543]",100,0.526971770088158,0.76,0.23302822991184202
random_forest_small,"(0.543, 0.565]",102,0.555200058862094,0.6470588235294118,0.0918587646673178
random_forest_small,"(0.565, 0.676]",102,0.5915745993551852,0.5294117647058824,0.062162834649302834
gradient_boosting_small,"(0.321, 0.552]",122,0.506051247894412,0.639344262295082,0.13329301440066998
gradient_boosting_small,"(0.552, 0.604]",85,0.5822786760824005,0.5882352941176471,0.005956618035246608
gradient_boosting_small,"(0.604, 0.644]",99,0.6294057757357513,0.6060606060606061,0.023345169675145216
gradient_boosting_small,"(0.644, 0.647]",157,0.6458144800241993,0.6242038216560509,0.02161065836814835
gradient_boosting_small,"(0.647, 0.813]",46,0.7065576709940891,0.6086956521739131,0.09786201882017598
average_probability_ensemble,"(0.397, 0.49]",102,0.4621346091574962,0.5882352941176471,0.12610068496015087
average_probability_ensemble,"(0.49, 0.534]",102,0.5174441439488368,0.6078431372549019,0.09039899330606516
average_probability_ensemble,"(0.534, 0.563]",102,0.5495644839159876,0.7058823529411765,0.15631786902518896
average_probability_ensemble,"(0.563, 0.574]",101,0.5684822721955021,0.594059405940594,0.025577133745091962
average_probability_ensemble,"(0.574, 0.668]",102,0.5912037006267776,0.5882352941176471,0.00296840650913055
