experiment_type,parameter,Exposure Cap,Vol Target,Dual Trend,total_return,CAGR,Sharpe,Sortino,Calmar,max_drawdown,annual_volatility,average_cash,median_cash,min_cash,max_cash,cash_utilization_pct,average_exposure,turnover,alpha_vs_SPY,alpha_vs_QQQ,CAGR_delta_vs_production,Sharpe_delta_vs_production,Sortino_delta_vs_production,Calmar_delta_vs_production,max_drawdown_delta_vs_production,annual_volatility_delta_vs_production,average_cash_delta_vs_production,cash_utilization_pct_delta_vs_production,pareto_efficient
exposure_cap,40pct,0.4,,,6.039729207687322,0.11842204063325368,0.9485978188326559,1.4517019884291955,0.4918755079070207,-0.24075612371339905,0.12651885548690556,0.5999999999999999,0.6,0.6,0.6,0.40000000000000013,0.4000000000000001,0.09435869067067636,-4.12903204268791,-20.50293111452291,-0.05037798783149494,-0.05067740537743548,-0.13977064029640496,-0.19275397947505468,0.005800636659595737,-0.044266999638665316,0.13911438755594974,-0.13911438755594974,True
exposure_cap,50pct,0.5,,,9.887625477606887,0.14674310978085026,0.9527622826556272,1.46384722586973,0.49786598996669545,-0.2947441936949069,0.1567365905606881,0.5061503416856492,0.5,0.5,0.6,0.4938496583143508,0.49384965831435085,0.09435869067067636,-0.28113577276834434,-16.655034844603342,-0.022056918683898363,-0.04651294155446417,-0.12762540285587054,-0.18676349741537995,-0.04818743332191211,-0.014049264564882785,0.04526472924159908,-0.04526472924159908,True
exposure_cap,60pct,0.6,,,15.430705445545545,0.17412832323866523,0.9532287950431977,1.463549692819705,0.5028206518735264,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.4,0.4,0.6,0.5873490117017359,0.5873490117017357,0.09435869067067636,5.261944195170313,-11.111954876664687,0.005328294773916609,-0.04604642916689372,-0.12792293590589554,-0.18180883550854898,-0.09974628543440656,0.01609430875993309,-0.048234624145786,0.048234624145786054,True
exposure_cap,70pct,0.7,,,15.430705445545545,0.17412832323866523,0.9532287950431977,1.463549692819705,0.5028206518735264,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.4,0.4,0.6,0.5873490117017359,0.5873490117017357,0.09435869067067636,5.261944195170313,-11.111954876664687,0.005328294773916609,-0.04604642916689372,-0.12792293590589554,-0.18180883550854898,-0.09974628543440656,0.01609430875993309,-0.048234624145786,0.048234624145786054,True
exposure_cap,80pct,0.8,,,15.430705445545545,0.17412832323866523,0.9532287950431977,1.463549692819705,0.5028206518735264,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.4,0.4,0.6,0.5873490117017359,0.5873490117017357,0.09435869067067636,5.261944195170313,-11.111954876664687,0.005328294773916609,-0.04604642916689372,-0.12792293590589554,-0.18180883550854898,-0.09974628543440656,0.01609430875993309,-0.048234624145786,0.048234624145786054,True
exposure_cap,90pct,0.9,,,15.430705445545545,0.17412832323866523,0.9532287950431977,1.463549692819705,0.5028206518735264,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.4,0.4,0.6,0.5873490117017359,0.5873490117017357,0.09435869067067636,5.261944195170313,-11.111954876664687,0.005328294773916609,-0.04604642916689372,-0.12792293590589554,-0.18180883550854898,-0.09974628543440656,0.01609430875993309,-0.048234624145786,0.048234624145786054,True
exposure_cap,100pct,1.0,,,15.430705445545545,0.17412832323866523,0.9532287950431977,1.463549692819705,0.5028206518735264,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.4,0.4,0.6,0.5873490117017359,0.5873490117017357,0.09435869067067636,5.261944195170313,-11.111954876664687,0.005328294773916609,-0.04604642916689372,-0.12792293590589554,-0.18180883550854898,-0.09974628543440656,0.01609430875993309,-0.048234624145786,0.048234624145786054,True
vol_target,15pct,,0.15,,15.288943264347147,0.1735449975486918,0.9678194669645522,1.4913841064002835,0.5208022378419969,-0.3332262900170997,0.18277088398094596,0.42026300693130947,0.4,0.4,0.6,0.5797369930686905,0.5797369930686904,0.09435869067067636,5.120182013971915,-11.253717057863085,0.0047449690839431735,-0.03145575724553917,-0.10008852232531695,-0.16382724954007855,-0.0866695296441049,0.011985028855375085,-0.04062260551274066,0.04062260551274066,True
vol_target,18pct,,0.18,,15.167292834133537,0.1730406000795237,0.9538022509913743,1.461554534014394,0.5009056737896158,-0.34545546024739593,0.18553674451854849,0.41525593355902835,0.4,0.4,0.6,0.5847440664409717,0.5847440664409715,0.09435869067067636,4.9985315837583055,-11.375367488076694,0.0042405716147750905,-0.04547297321871713,-0.1299180947112064,-0.1837238135924596,-0.09889869987440114,0.014750889392977612,-0.045629678885021785,0.045629678885021785,True
vol_target,20pct,,0.2,,15.321492911423764,0.17367935550778935,0.9527553642777492,1.4623162835270553,0.5008011754358934,-0.3468030109087108,0.1864966990464405,0.41327361400069346,0.4,0.4,0.6,0.5867263859993066,0.5867263859993063,0.09435869067067636,5.1527316610485325,-11.221167410786467,0.0048793270430407265,-0.0465198599323422,-0.12915634519854513,-0.183828311946182,-0.10024625053571601,0.015710843920869633,-0.04761199844335667,0.04761199844335673,True
