window_start,month,monthly_return
2008-01-01,2008-12,-0.03666066911902777
2008-01-01,2009-01,0.010247972194043387
2008-01-01,2009-02,-0.0020686789953776596
2008-01-01,2009-03,0.0712499785688081
2008-01-01,2009-04,0.170797461179661
2008-01-01,2009-05,-0.06913527355908222
2008-01-01,2009-06,-0.06813083076518067
2008-01-01,2009-07,0.04434513868455214
2008-01-01,2009-08,0.006008373370756104
2008-01-01,2009-09,0.031209596917085136
2008-01-01,2009-10,-0.009211645691128978
2008-01-01,2009-11,0.05006688351946886
2008-01-01,2009-12,0.03172136224848221
2008-01-01,2010-01,-0.04059598147237453
2008-01-01,2010-02,0.0846670600859527
2008-01-01,2010-03,0.03576485474456903
2008-01-01,2010-04,0.03626032490773712
2008-01-01,2010-05,-0.018334298729879017
2008-01-01,2010-06,0.013963066608348118
2008-01-01,2010-07,0.015361658340408813
2008-01-01,2010-08,0.01778277069724843
2008-01-01,2010-09,0.02208894080354873
2008-01-01,2010-10,0.0356538714567769
2008-01-01,2010-11,0.006834027324435388
2008-01-01,2010-12,0.04148046813600681
2008-01-01,2011-01,0.08934852790828574
2008-01-01,2011-02,-0.04888159995866348
2008-01-01,2011-03,-0.01935571663389435
2008-01-01,2011-04,0.02581514409329566
2008-01-01,2011-05,-0.00934658928953902
2008-01-01,2011-06,0.045711698632659115
2008-01-01,2011-07,-0.06011365300184912
2008-01-01,2011-08,-0.011902345966863348
2008-01-01,2011-09,-0.041035994082262994
2008-01-01,2011-10,-0.008197649657105233
2008-01-01,2011-11,-0.010871269298266206
2008-01-01,2011-12,0.015337844101912523
2008-01-01,2012-01,0.07871262622822961
2008-01-01,2012-02,-0.02108660795101802
2008-01-01,2012-03,0.04675093346029113
2008-01-01,2012-04,-0.025815597255558154
2008-01-01,2012-05,-0.04224064788417914
2008-01-01,2012-06,-0.050914966811597906
2008-01-01,2012-07,-0.03392548258826
2008-01-01,2012-08,0.019735906368276712
2008-01-01,2012-09,0.053687025153073
2008-01-01,2012-10,-0.04542923120841835
2008-01-01,2012-11,0.050135294657913
2008-01-01,2012-12,0.01989421805667324
2008-01-01,2013-01,0.12177709538363302
2008-01-01,2013-02,-0.05768986649214769
2008-01-01,2013-03,-0.030371873091261437
2008-01-01,2013-04,0.07183397969719407
2008-01-01,2013-05,0.01950859308010222
2008-01-01,2013-06,-0.011346730222883572
2008-01-01,2013-07,0.008416766769123285
2008-01-01,2013-08,-0.0013002597106007707
2008-01-01,2013-09,0.028829073231234403
2008-01-01,2013-10,-0.007884548049760354
2008-01-01,2013-11,0.08817827176605442
2008-01-01,2013-12,0.03761882311887543
2008-01-01,2014-01,0.01272915199471747
2008-01-01,2014-02,0.09016067337765277
2008-01-01,2014-03,-0.07236199116343467
2008-01-01,2014-04,-0.013938774498300832
2008-01-01,2014-05,-0.005126251833606488
2008-01-01,2014-06,0.018830332939461014
2008-01-01,2014-07,-0.018313897788781452
2008-01-01,2014-08,0.0016945674016770607
2008-01-01,2014-09,0.0062202328444791455
2008-01-01,2014-10,0.021796880944913166
2008-01-01,2014-11,0.0334336416948402
2008-01-01,2014-12,-0.0023909274240142553
2008-01-01,2015-01,0.013634165563167544
2008-01-01,2015-02,0.01869518736218878
2008-01-01,2015-03,0.01139975894704559
2008-01-01,2015-04,0.017175074613984265
2008-01-01,2015-05,-0.0283274120210405
2008-01-01,2015-06,0.006602374816067513
2008-01-01,2015-07,0.07443194040885182
2008-01-01,2015-08,-0.06458096921126721
2008-01-01,2015-09,0.009736949055371147
2008-01-01,2015-10,0.06868169449056727
2008-01-01,2015-11,0.024188785018678605
2008-01-01,2015-12,-0.06899523620896386
2008-01-01,2016-01,-0.059270550129799204
2008-01-01,2016-02,0.014906548549310505
2008-01-01,2016-03,-0.0003686117856754878
2008-01-01,2016-04,0.03823900092997068
2008-01-01,2016-05,-0.00793964130821967
2008-01-01,2016-06,0.03620965537322984
2008-01-01,2016-07,0.12443037256372702
2008-01-01,2016-08,-0.0017300392654494567
2008-01-01,2016-09,0.04091553210973409
2008-01-01,2016-10,-0.023278208632055652
2008-01-01,2016-11,0.1022817351339218
2008-01-01,2016-12,0.04439431565548713
2008-01-01,2017-01,0.07658281801887612
2008-01-01,2017-02,-0.004495462000733141
2008-01-01,2017-03,0.01839559899518939
2008-01-01,2017-04,-0.013234432075974079
2008-01-01,2017-05,0.04233768489301237
2008-01-01,2017-06,-0.03818530866332093
2008-01-01,2017-07,0.056907008652643976
2008-01-01,2017-08,0.003401034538522474
2008-01-01,2017-09,0.0030222152212520115
2008-01-01,2017-10,0.06092113717407277
2008-01-01,2017-11,-0.011545464052704513
2008-01-01,2017-12,0.020696845880421533
2008-01-01,2018-01,0.005642720040657689
2008-01-01,2018-02,0.0819825431394492
2008-01-01,2018-03,-0.07170128085647609
2008-01-01,2018-04,0.05110327725022712
2008-01-01,2018-05,0.05282199790116038
2008-01-01,2018-06,0.0645965006426299
2008-01-01,2018-07,-0.0015525013928200382
2008-01-01,2018-08,0.11095675140961214
2008-01-01,2018-09,-0.025643304677920087
2008-01-01,2018-10,0.008914633559621299
2008-01-01,2018-11,-0.06129837988303655
2008-01-01,2018-12,-0.04875220171684469
2008-01-01,2019-01,0.008817714132096865
2008-01-01,2019-02,-0.01809023892813011
2008-01-01,2019-03,0.07095862176030487
2008-01-01,2019-04,0.011646570871662432
2008-01-01,2019-05,-0.008171198603776797
2008-01-01,2019-06,-0.013068663897516597
2008-01-01,2019-07,0.011203825190478689
2008-01-01,2019-08,0.03294270150456735
2008-01-01,2019-09,-0.07461280577069485
2008-01-01,2019-10,0.0401026242067124
2008-01-01,2019-11,0.009556690165768877
2008-01-01,2019-12,0.033963875197298155
2008-01-01,2020-01,0.0036993800473388294
2008-01-01,2020-02,0.02160005964173184
2008-01-01,2020-03,-0.1609773175412973
2008-01-01,2020-04,0.07767013224091368
2008-01-01,2020-05,0.0012621092174951443
2008-01-01,2020-06,-0.00493375957434139
2008-01-01,2020-07,0.054497919778388804
2008-01-01,2020-08,-0.07553924327261508
2008-01-01,2020-09,0.04665595068650985
2008-01-01,2020-10,-0.0139949575645969
2008-01-01,2020-11,0.1599612468137337
2008-01-01,2020-12,0.1253115122110111
2008-01-01,2021-01,0.1539532032580897
2008-01-01,2021-02,0.04358466520417181
2008-01-01,2021-03,-0.05881696325701846
2008-01-01,2021-04,-0.03460736533768782
2008-01-01,2021-05,0.03190584747455394
2008-01-01,2021-06,-0.021613632033922747
2008-01-01,2021-07,0.013891932012822128
2008-01-01,2021-08,0.01238602498990593
2008-01-01,2021-09,-0.07645663915724266
2008-01-01,2021-10,0.13352741270630575
2008-01-01,2021-11,-0.011342329820762997
2008-01-01,2021-12,-0.04704554156170071
2008-01-01,2022-01,-0.1047371538747629
2008-01-01,2022-02,0.06802409082127525
2008-01-01,2022-03,0.01099733547083126
2008-01-01,2022-04,-0.12924447345635037
2008-01-01,2022-05,0.07150775081327332
2008-01-01,2022-06,-0.0703691371737204
2008-01-01,2022-07,0.005424326119437106
2008-01-01,2022-08,-0.0319516892157935
2008-01-01,2022-09,-0.05678097098069135
2008-01-01,2022-10,0.023130233497606012
2008-01-01,2022-11,0.042435116306091425
2008-01-01,2022-12,0.02520479956145616
2008-01-01,2023-01,0.08013886488021771
2008-01-01,2023-02,0.0007149741930465581
2008-01-01,2023-03,-0.03238256281381269
2008-01-01,2023-04,0.029793763376780635
2008-01-01,2023-05,0.1638989374505
2008-01-01,2023-06,-0.004322842100274671
2008-01-01,2023-07,0.05191436622125045
2008-01-01,2023-08,-0.01607255182937295
2008-01-01,2023-09,-0.007505217498332106
2008-01-01,2023-10,-0.01641269655564115
2008-01-01,2023-11,0.04804307967587862
2008-01-01,2023-12,0.038882047983408885
