date,baseline_only,full_quant_only,overlap,overlap_count,jaccard_overlap
2022-06-21,[],[],"['AMD', 'CCJ', 'COST', 'NFLX']",4,1.0
2022-06-28,[],[],"['AMD', 'CCJ', 'COST', 'NFLX']",4,1.0
2022-07-06,[],[],"['COST', 'NFLX', 'PEP', 'VIST']",4,1.0
2022-07-13,[],[],"['CCJ', 'COST', 'NFLX', 'NVDA']",4,1.0
2022-07-20,[],[],"['CCJ', 'COST', 'NFLX', 'QCOM']",4,1.0
2022-07-27,[],[],"['AAPL', 'NFLX', 'QCOM', 'TXN']",4,1.0
2022-08-03,[],[],"['AAPL', 'CSCO', 'QQQ', 'TXN']",4,1.0
2022-08-10,[],[],"['ADBE', 'AMZN', 'VIST', 'YPF']",4,1.0
2022-08-17,[],[],"['AAPL', 'CCJ', 'COST', 'YPF']",4,1.0
2022-08-24,[],[],"['VIST', 'YPF']",2,1.0
2022-08-31,[],[],"['VIST', 'YPF']",2,1.0
2022-09-08,[],[],"['COST', 'QCOM', 'QQQ', 'YPF']",4,1.0
2022-09-15,[],[],"['VIST', 'YPF']",2,1.0
2022-09-22,[],[],"['VIST', 'YPF']",2,1.0
2022-09-29,[],[],"['COST', 'NFLX', 'VIST', 'YPF']",4,1.0
2022-10-06,[],[],"['COST', 'PEP', 'VIST', 'YPF']",4,1.0
2022-10-13,[],[],"['COST', 'PEP', 'VIST', 'YPF']",4,1.0
2022-10-20,[],[],"['AMZN', 'NFLX', 'VIST', 'YPF']",4,1.0
2022-10-27,[],[],"['ADBE', 'COST', 'PEP', 'VIST']",4,1.0
2022-11-03,[],[],"['CSCO', 'PEP', 'VIST', 'YPF']",4,1.0
