date,trend_state,volatility_state,breadth_state,correlation_state,regime_v2_label,regime_v2_score,regime_v2_confidence,regime_v2_reason,trend_score,breadth_score,crowding_score,vol_percentile
2022-01-03,sideways,normal_vol,weak_participation,diversified,sideways_low_vol,0.1,0.33122653473541885,trend=sideways; vol=normal_vol; breadth=weak_participation; corr=diversified,0.0,0.1,0.35363847218451744,0.5
2022-01-10,sideways,normal_vol,weak_participation,diversified,sideways_low_vol,0.1,0.33122653473541885,trend=sideways; vol=normal_vol; breadth=weak_participation; corr=diversified,0.0,0.1,0.35363847218451744,0.5
2022-01-18,sideways,normal_vol,weak_participation,diversified,sideways_low_vol,0.1,0.33122653473541885,trend=sideways; vol=normal_vol; breadth=weak_participation; corr=diversified,0.0,0.1,0.35363847218451744,0.5
2022-01-25,sideways,normal_vol,weak_participation,diversified,sideways_low_vol,0.1,0.33122653473541885,trend=sideways; vol=normal_vol; breadth=weak_participation; corr=diversified,0.0,0.1,0.35363847218451744,0.5
2022-02-01,sideways,normal_vol,weak_participation,diversified,sideways_low_vol,0.1,0.33122653473541885,trend=sideways; vol=normal_vol; breadth=weak_participation; corr=diversified,0.0,0.1,0.35363847218451744,0.5
2022-02-08,downtrend,stress_vol,weak_participation,diversified,stress,-0.85,0.6512461062881684,trend=downtrend; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.27148449015071274,0.1,0.35363847218451744,1.0
2022-02-15,downtrend,stress_vol,weak_participation,diversified,stress,-0.85,0.6417678221114144,trend=downtrend; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.26234387755267796,0.1,0.35363847218451744,0.986046511627907
2022-02-23,downtrend,stress_vol,weak_participation,diversified,stress,-0.85,0.6676945767706506,trend=downtrend; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.3723007181073066,0.1,0.35363847218451744,0.958139534883721
2022-03-02,sideways,stress_vol,weak_participation,diversified,stress,-0.85,0.6226511454089644,trend=sideways; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.1957646683695984,0.1,0.35363847218451744,0.9953488372093023
2022-03-09,downtrend,stress_vol,weak_participation,diversified,stress,-0.85,0.6374975158022455,trend=downtrend; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.24416293593844124,0.1,0.35363847218451744,0.9906976744186047
2022-03-16,downtrend,stress_vol,weak_participation,diversified,stress,-0.85,0.6246044674329001,trend=downtrend; vol=stress_vol; breadth=weak_participation; corr=diversified,-0.2372259871090826,0.1,0.35363847218451744,0.9674418604651163
