regime,sample_size,average_forward_return,volatility,Sharpe,TP_rate,SL_rate,TP_minus_SL,hit_rate,forecast_IC,average_selected_count,average_cash,regime_system
neutral,1340,0.02229199176119401,0.11122668113744291,3.18156035001384,0.2716417910447761,0.1791044776119403,0.0925373134328358,0.5835820895522388,0.04516541017620126,7.83625730994152,0.5280701754385965,current
risk_off,314,0.04502363021126284,0.12193499328007323,5.861549279133947,0.33121019108280253,0.18471337579617833,0.1464968152866242,0.6687898089171974,0.04145709164656194,7.136363636363637,0.6363636363636364,current
risk_on,40,0.018909288098197186,0.14914328006258337,2.01266622630708,0.05,0.225,-0.175,0.425,0.34558523889280635,8.0,0.5,current
trend_up_low_vol,958,0.026812308817467188,0.11007346926084068,3.866801056576821,0.3068893528183716,0.17118997912317327,0.13569937369519833,0.5960334029227558,0.00967452385847825,7.917355371900826,0.5322314049586776,v2
stress,244,0.016025546299346355,0.1395465962124236,1.8230302113917336,0.2459016393442623,0.21721311475409835,0.02868852459016394,0.5245901639344263,-0.0924232657936323,7.393939393939394,0.5545454545454546,v2
trend_up_high_vol,140,0.029889658033356976,0.07824871921187265,6.063787578291323,0.14285714285714285,0.1,0.042857142857142844,0.7,-0.018301030964084777,7.777777777777778,0.5333333333333333,v2
trend_down_high_vol,104,0.028313166477062314,0.1315648865580901,3.4162427051842283,0.25,0.21153846153846154,0.038461538461538464,0.6346153846153846,-0.14778451293434647,7.428571428571429,0.6071428571428571,v2
choppy,90,0.020862356813378655,0.10412200640350301,3.180688298129273,0.35555555555555557,0.2222222222222222,0.13333333333333336,0.5555555555555556,0.2761528326745718,6.923076923076923,0.5461538461538462,v2
sideways_high_vol,88,0.07267763342932208,0.10613388228927809,10.870436835991965,0.2727272727272727,0.045454545454545456,0.22727272727272724,0.7727272727272727,0.10204369274136717,8.0,0.5818181818181818,v2
sideways_low_vol,70,-0.003339000959693731,0.1198204863748464,-0.4423700704628495,0.2,0.42857142857142855,-0.22857142857142854,0.4,0.1285714285714286,7.0,0.65,v2
