strategy,sample_size,observed_sharpe,skewness,kurtosis,effective_independent_trials_used,expected_max_sharpe,deflated_sharpe,dsr_z_score,dsr_p_value,survives_5pct
final_selection__growth_champion_v3__2015-01-01,525,2.6359210017640273,0.45237243564028456,7.17520468757596,3,0.5914037966787914,2.044517205085236,2.9973804776106197,0.0013615530804788056,True
final_cost__growth_champion_v3__2015-01-01__zero_cost,525,2.6359210017640273,0.45237243564028456,7.17520468757596,3,0.5914037966787914,2.044517205085236,2.9973804776106197,0.0013615530804788056,True
crisis_overlay__dual_trend_filter__2015-01-01,525,2.6359210017640273,0.45237243564028456,7.17520468757596,3,0.5914037966787914,2.044517205085236,2.9973804776106197,0.0013615530804788056,True
final_cost__growth_champion_v3__2015-01-01__very_low_cost,525,2.621265185325035,0.4528904061642294,7.174826752985814,3,0.5914037966787914,2.0298613886462435,2.9761133555035473,0.001459634677151156,True
crisis_overlay__spy_trend_filter__2015-01-01,525,2.6133581608804133,0.44910295706994124,7.048487235162488,3,0.5914037966787914,2.021954364201622,2.9649195437937026,0.0015138104982729272,True
final_cost__growth_champion_v3__2015-01-01__realistic_us_liquid,525,2.6017203826413384,0.453579564027136,7.174301582367642,3,0.5914037966787914,2.010316585962547,2.947738125506585,0.0016005405396490868,True
final_cost__growth_champion_v3__2015-01-01__conservative,525,2.5626183639143676,0.454952785887137,7.1731783814627565,3,0.5914037966787914,1.971214567235576,2.890923777232877,0.0019205563507374013,True
crisis_overlay__qqq_trend_filter__2015-01-01,525,2.547465269540822,0.35232122471525157,6.9583151402432435,3,0.5914037966787914,1.9560614728620305,2.8466341736622165,0.002209205256338387,True
crisis_overlay__realized_volatility_filter__2015-01-01,525,2.481227461098032,0.33563265408578413,6.693242294188318,3,0.5914037966787914,1.8898236644192403,2.7495520436115153,0.0029838392644091494,True
final_cost__growth_champion_v3__2015-01-01__stress,525,2.4647949025095777,0.4583554383563113,7.169945729868148,3,0.5914037966787914,1.8733911058307862,2.74853387020789,0.0029931224863711803,True
crisis_overlay__drawdown_aware_trend_filter__2015-01-01,525,2.4071882425135875,0.3613220935991429,6.88222737171618,3,0.5914037966787914,1.815784445834796,2.646262947919793,0.004069326271076146,True
crisis_overlay__spy_trend_filter__2008-01-01,878,2.269542442137543,0.4791965508812034,5.834504627951031,3,0.45714076958421046,1.8124016725533325,3.457648830232368,0.000272455583533171,True
final_selection__growth_champion_v3__2008-01-01,878,2.2342469979089774,0.49164963378273546,5.987134933692415,3,0.45714076958421046,1.777106228324767,3.3915438266349027,0.0003475002342475664,True
final_cost__growth_champion_v3__2008-01-01__zero_cost,878,2.2342469979089774,0.49164963378273546,5.987134933692415,3,0.45714076958421046,1.777106228324767,3.3915438266349027,0.0003475002342475664,True
crisis_overlay__dual_trend_filter__2008-01-01,878,2.2342469979089774,0.49164963378273546,5.987134933692415,3,0.45714076958421046,1.777106228324767,3.3915438266349027,0.0003475002342475664,True
crisis_overlay__realized_volatility_filter__2008-01-01,878,2.2172137470282895,0.35459214410646295,5.53661457797023,3,0.45714076958421046,1.760072977444079,3.3293797670679273,0.00043519817457726706,True
final_cost__growth_champion_v3__2008-01-01__very_low_cost,878,2.2155524045022403,0.49217518561883,5.988423436459108,3,0.45714076958421046,1.7584116349180299,3.35568966685563,0.0003958367512006955,True
crisis_overlay__spy_trend_filter__2010-01-01,777,2.2289010080034255,0.4824661733697996,6.128237134866187,3,0.485980553284501,1.7429204547189245,3.125584800663946,0.0008872594947005874,True
final_cost__growth_champion_v3__2008-01-01__realistic_us_liquid,878,2.19062331138624,0.4928729080254843,5.990121814175643,3,0.45714076958421046,1.7334825418020294,3.307871645505369,0.000470039425667812,True
final_selection__growth_champion_v3__2010-01-01,777,2.213608204931047,0.5072519501895291,6.282938838240258,3,0.485980553284501,1.727627651646546,3.1023507101154286,0.0009599517882740161,True
final_cost__growth_champion_v3__2010-01-01__zero_cost,777,2.213608204931047,0.5072519501895291,6.282938838240258,3,0.485980553284501,1.727627651646546,3.1023507101154286,0.0009599517882740161,True
crisis_overlay__dual_trend_filter__2010-01-01,777,2.213608204931047,0.5072519501895291,6.282938838240258,3,0.485980553284501,1.727627651646546,3.1023507101154286,0.0009599517882740161,True
crisis_overlay__qqq_trend_filter__2008-01-01,878,2.172347282856935,0.3999826595343072,5.785477227063257,3,0.45714076958421046,1.7152065132727246,3.252765076304783,0.0005714397106933999,True
final_selection__growth_champion_v2__2015-01-01,525,2.3054126690196997,0.15147893628071532,6.059454715724323,3,0.5914037966787914,1.7140088723409082,2.4658401544944413,0.006834615939537159,True
crisis_overlay__base_growth_v2__2015-01-01,525,2.3054126690196997,0.15147893628071532,6.059454715724323,3,0.5914037966787914,1.7140088723409082,2.4658401544944413,0.006834615939537159,True
reconstructed__2015-01-01,525,2.3054126690196997,0.15147893628071532,6.059454715724323,3,0.5914037966787914,1.7140088723409082,2.4658401544944413,0.006834615939537159,True
final_cost__growth_champion_v3__2010-01-01__very_low_cost,777,2.194729739945026,0.5077251029458277,6.284905599849221,3,0.485980553284501,1.7087491866605249,3.068271706057771,0.001076503818766117,True
final_cost__growth_champion_v3__2008-01-01__conservative,878,2.140755516542406,0.494257949105824,5.993451154703623,3,0.45714076958421046,1.6836147469581957,3.212196288408911,0.0006586217113949688,True
final_cost__growth_champion_v3__2010-01-01__realistic_us_liquid,777,2.1695544384265744,0.5083537641505714,6.2875083820538595,3,0.485980553284501,1.6835738851420734,3.022820439530759,0.0012521539488173916,True
final_cost__growth_champion_v3__2015-01-01__extreme,525,2.268891268627463,0.46502425443761264,7.161665000807947,3,0.5914037966787914,1.6774874719486714,2.462409387648057,0.006900351997081833,True
crisis_overlay__drawdown_aware_trend_filter__2008-01-01,878,2.1292243349277404,0.26638887317539284,5.631360931317099,3,0.45714076958421046,1.67208356534353,3.142804771641504,0.0008366870382281455,True
crisis_overlay__qqq_trend_filter__2010-01-01,777,2.15786811146516,0.4644283930246549,6.063024575725583,3,0.485980553284501,1.671887558180659,2.993945312713374,0.0013769765062137118,True
final_selection__growth_champion_v2__2008-01-01,878,2.117960974493879,0.18597580152385773,5.224747373490132,3,0.45714076958421046,1.6608202049096685,3.1076461093867884,0.0009429187027307773,True
crisis_overlay__base_growth_v2__2008-01-01,878,2.117960974493879,0.18597580152385773,5.224747373490132,3,0.45714076958421046,1.6608202049096685,3.1076461093867884,0.0009429187027307773,True
reconstructed__2008-01-01,878,2.117960974493879,0.18597580152385773,5.224747373490132,3,0.45714076958421046,1.6608202049096685,3.1076461093867884,0.0009429187027307773,True
final_cost__growth_champion_v3__2010-01-01__conservative,777,2.1191906186872385,0.5096034491739284,6.292646625200967,3,0.485980553284501,1.6332100654027375,2.9318779128015575,0.001684595836465741,True
crisis_overlay__drawdown_aware_trend_filter__2010-01-01,777,2.0995492636615403,0.33587891927439856,6.076922669585737,3,0.485980553284501,1.6135687103770393,2.863503481528526,0.00209492104792508,True
crisis_overlay__realized_volatility_filter__2010-01-01,777,2.0901788148015754,0.3958396316245347,5.911963020764292,3,0.485980553284501,1.6041982615170745,2.859491130820565,0.0021216064167713933,True
final_selection__growth_champion_v3__2020-01-01,274,2.380449247172916,0.988182054836399,5.431648651762131,3,0.8193480571505026,1.5611011900224132,1.7353176685746186,0.0413422769541647,True
final_cost__growth_champion_v3__2020-01-01__zero_cost,274,2.380449247172916,0.988182054836399,5.431648651762131,3,0.8193480571505026,1.5611011900224132,1.7353176685746186,0.0413422769541647,True
crisis_overlay__dual_trend_filter__2020-01-01,274,2.380449247172916,0.988182054836399,5.431648651762131,3,0.8193480571505026,1.5611011900224132,1.7353176685746186,0.0413422769541647,True
final_cost__growth_champion_v3__2008-01-01__stress,878,2.016037067764937,0.49765897692863886,6.0013797636471224,3,0.45714076958421046,1.5588962981807266,2.972821672213862,0.0014753791734879451,True
final_cost__growth_champion_v3__2020-01-01__very_low_cost,274,2.3689378928904943,0.9880188097249248,5.430997930918583,3,0.8193480571505026,1.5495898357399915,1.722033689209013,0.042531707946230624,True
final_selection__growth_champion_v2__2010-01-01,777,2.0254655172363596,0.20129401862892776,5.557649687571781,3,0.485980553284501,1.5394849639518586,2.7111950194319485,0.003352059139886343,True
crisis_overlay__base_growth_v2__2010-01-01,777,2.0254655172363596,0.20129401862892776,5.557649687571781,3,0.485980553284501,1.5394849639518586,2.7111950194319485,0.003352059139886343,True
reconstructed__2010-01-01,777,2.0254655172363596,0.20129401862892776,5.557649687571781,3,0.485980553284501,1.5394849639518586,2.7111950194319485,0.003352059139886343,True
