feature,information_value,mutual_information,meta_spearman,meta_feature_score,meta_sample_size,triple_barrier_corr,triple_barrier_score,triple_barrier_tp_minus_sl,triple_barrier_sample_size,horizon_count,kalman_spearman_ic,kalman_mutual_information,kalman_predictive_score,kalman_sample_size,ic_history_strength,ic_history_sample_rows,information_value_score,mutual_information_score,meta_spearman_score,kalman_spearman_ic_score,kalman_mutual_information_score,triple_barrier_corr_score,triple_barrier_tp_minus_sl_score,ic_history_strength_score,ic_strength_score,mi_score,meta_label_importance_score,triple_barrier_predictive_score,stability_score,kalman_score,base_feature_score,redundancy_penalty,meta_degradation_penalty,structural_penalty,feature_selection_score,max_sample_size,classification,recommended_usage,evidence_summary
signal_strength,0.0361868488853144,0.1618570450727026,0.0175161426536361,0.9074074074074074,1694.0,0.14528469177850753,0.8333333333333334,0.10458937198067629,460.0,3.0,0.007235135100642,0.0033054619268031,0.5714285714285714,10120.0,0.0,6.0,1.0,0.6589243563141841,0.9901523003122641,0.0810114404421707,0.5841779293600903,0.9751459141841761,0.49570692615912987,0.0,0.9901523003122641,0.6589243563141841,0.9074074074074074,0.8012611971112034,1.0,0.5714285714285714,0.872524114971776,0.0,0.0,0.0,0.872524114971776,10120.0,CORE,eligible_as_primary_ml_feature_research,IC=0.99; MI=0.66; IV=1.00; TB=0.80
expected_daily_return,0.0183305826505202,0.2456382792982188,0.0176903519267814,0.9537037037037036,1694.0,0.06003055137728858,0.8000000000000002,0.1315217391304348,460.0,3.0,0.0449769613568098,0.0010188404364528,0.6071428571428571,10120.0,0.0,6.0,0.5065537126101977,1.0,1.0,0.5036047531308291,0.18006079322503757,0.40292302089906784,0.6233543216943334,0.0,1.0,1.0,0.9537037037037036,0.6654016195636338,1.0,0.6071428571428571,0.8566801436523537,0.0,0.0,0.0,0.8566801436523537,10120.0,CORE,eligible_as_primary_ml_feature_research,IC=1.00; MI=1.00; IV=0.51; TB=0.67
expected_total_return,0.0183305826505202,0.2456382792982188,0.0176903519267814,0.9537037037037036,1694.0,0.06003055137728858,0.8000000000000002,0.1315217391304348,460.0,3.0,0.0449769613568098,0.0010188404364528,0.6071428571428571,10120.0,0.0,6.0,0.5065537126101977,1.0,1.0,0.5036047531308291,0.18006079322503757,0.40292302089906784,0.6233543216943334,0.0,1.0,1.0,0.9537037037037036,0.6654016195636338,1.0,0.6071428571428571,0.8566801436523537,0.0,0.0,0.0,0.8566801436523537,10120.0,CORE,eligible_as_primary_ml_feature_research,IC=1.00; MI=1.00; IV=0.51; TB=0.67
daily_volatility,0.0,0.0,0.0,0.3518518518518518,1694.0,0.1489876434544211,0.9,0.21099033816425117,460.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3518518518518518,0.9450000000000001,1.0,0.0,0.5150833333333333,0.0,0.0,0.0,0.5150833333333333,1694.0,SUPPORTING,use_as_secondary_feature_with_monitoring,IC=1.00; TB=0.95
kalman_signal_to_noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653457577284014,0.0037364013361758,0.8571428571428571,10120.0,0.0,0.0,0.0,0.0,0.0,0.7316731321151381,0.6603383261281394,0.0,0.0,0.0,0.7316731321151381,0.6603383261281394,0.0,0.0,0.0,0.8571428571428571,0.3360648960175639,0.0,0.0785562632696391,0.0,0.2575086327479248,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=0.73; MI=0.66; meta_degradation_penalty=0.08
kalman_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453652669165637,0.0052638773367411,0.8214285714285714,10120.0,0.0,0.0,0.0,0.0,0.0,0.5079525907717013,0.9302908431793584,0.0,0.0,0.0,0.5079525907717013,0.9302908431793584,0.0,0.0,0.0,0.8214285714285714,0.3272976423223527,0.0,0.0785562632696391,0.0,0.2487413790527136,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=0.51; MI=0.93; meta_degradation_penalty=0.08
kalman_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0893100414108392,0.0009990122422287,0.75,10120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17655653460664014,0.0,0.0,0.0,1.0,0.17655653460664014,0.0,0.0,0.0,0.75,0.3117801762291952,0.0,0.0785562632696391,0.0,0.23322391295955608,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=1.00; MI=0.18; meta_degradation_penalty=0.08
kalman_momentum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350647827187744,0.0056583136073352,0.75,10120.0,0.0,0.0,0.0,0.0,0.0,0.3926185920961708,1.0,0.0,0.0,0.0,0.3926185920961708,1.0,0.0,0.0,0.0,0.75,0.3081546480240427,0.0,0.0785562632696391,0.0,0.22959838475440358,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=0.39; MI=1.00; meta_degradation_penalty=0.08
kalman_noise_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673794676513518,0.0008333842445173,0.6785714285714286,10120.0,0.0,0.0,0.0,0.0,0.0,0.7544444788844789,0.1472849160281494,0.0,0.0,0.0,0.7544444788844789,0.1472849160281494,0.0,0.0,0.0,0.6785714285714286,0.24226526174904373,0.0,0.0785562632696391,0.0,0.16370899847940462,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=0.75; MI=0.15; meta_degradation_penalty=0.08
correlation_diversification_score,0.0,0.0229268371843049,0.0,0.5370370370370371,1694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333576692446384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333576692446384,0.5370370370370371,0.0,0.0,0.0,0.11346710471307017,0.0,0.0,0.0,0.11346710471307017,1694.0,REMOVE_FROM_ML,low_evidence_or_redundant,MI=0.09
target_confidence,0.0,0.0184038552053316,0.0,0.5185185185185185,1694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.07492258640595782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07492258640595782,0.5185185185185185,0.0,0.0,0.0,0.10681939888640574,0.0,0.0,0.0,0.10681939888640574,1694.0,REMOVE_FROM_ML,low_evidence_or_redundant,MI=0.07
kalman_volatility_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515227602030015,0.0004865704801285,0.5357142857142857,10120.0,0.0,0.0,0.0,0.0,0.0,0.5768977305249394,0.08599213721518201,0.0,0.0,0.0,0.5768977305249394,0.08599213721518201,0.0,0.0,0.0,0.5357142857142857,0.18113158875853905,0.0,0.0785562632696391,0.0,0.10257532548889994,10120.0,DIAGNOSTIC_ONLY,kalman_degraded_meta_label_auc,IC=0.58; MI=0.09; meta_degradation_penalty=0.08
