forecast_decile,observations,average_return,volatility,hit_rate,average_rank,sharpe_proxy
1,1010,0.004596914921977232,0.060603311560407394,0.5405940594059406,41.0059405940594,0.07585253682705405
2,1009,0.010291654569512492,0.05879071870653388,0.5678889990089198,15.842418235877107,0.17505577063763125
3,1009,0.00608838868694424,0.06326466839484532,0.55599603567889,8.377601585728444,0.09623679126784628
4,1010,0.005217587207552923,0.06287938652283752,0.5356435643564357,4.813861386138614,0.08297770535114744
5,1009,0.008413880919428973,0.08111222823505207,0.5282457879088206,2.8939544103072348,0.10373134979163319
6,1009,0.006301436517016204,0.0666748630435149,0.5411298315163529,2.0,0.09450992817043528
7,1010,0.004711918044633582,0.07720060195103613,0.5306930693069307,2.0,0.061034731926340145
8,1009,0.0040287946190308895,0.09310546564069946,0.5282457879088206,1.3974231912784936,0.04327130089847025
9,1009,0.004141569760533899,0.08885616172663309,0.49554013875123887,1.0,0.0466098206365866
10,1010,0.01884273999639158,0.13113777772954394,0.5306930693069307,1.0,0.14368658919363794
