period_type,period,return,win_rate,observations,best_period_flag,worst_period_flag
month,2022-01,-0.12186935863198523,0.25,4,False,True
month,2022-02,0.03081533005589332,0.5,4,False,False
month,2022-03,0.020046949697950955,0.6,5,False,False
month,2022-04,-0.07670629466250689,0.0,4,False,False
month,2022-05,0.004199922885957941,0.75,4,False,False
month,2022-06,-0.05631480767951336,0.25,4,False,False
month,2022-07,0.0735162631307984,0.75,4,False,False
month,2022-08,0.06393974287460269,0.8,5,False,False
month,2022-09,0.03405319834397558,0.5,4,False,False
month,2022-10,0.07935892556108226,0.5,4,False,False
month,2022-11,0.034970916998611656,0.75,4,False,False
month,2022-12,-0.026603332100082366,0.4,5,False,False
month,2023-01,0.13744844288753,1.0,4,False,False
month,2023-02,-0.0261902433155331,0.6666666666666666,3,False,False
month,2023-03,0.03145803403280101,0.8,5,False,False
month,2023-04,-0.06868402449362354,0.25,4,False,False
month,2023-05,0.2341202349481486,1.0,4,False,False
month,2023-06,0.04521385820542578,0.75,4,False,False
month,2023-07,0.014719210635770308,0.25,4,False,False
month,2023-08,-0.020075787067270312,0.4,5,False,False
month,2023-09,-0.0244795133675354,0.5,4,False,False
month,2023-10,-0.06513758592391183,0.25,4,False,False
month,2023-11,0.12039859903031624,1.0,5,False,False
month,2023-12,0.020185277252203093,0.75,4,False,False
month,2024-01,0.10831016157206763,0.75,4,False,False
month,2024-02,0.10821925218244433,0.75,4,False,False
month,2024-03,-0.029068907571093483,0.5,4,False,False
month,2024-04,-0.00874079321451593,0.5,4,False,False
month,2024-05,0.032960592399770894,0.6,5,False,False
month,2024-06,-0.03489085476073983,0.6666666666666666,3,False,False
month,2024-07,-0.04379755780730554,0.2,5,False,False
month,2024-08,-0.0019328646517753345,0.5,4,False,False
month,2024-09,0.012679126230068505,0.25,4,False,False
month,2024-10,0.05858583162144604,0.6,5,False,False
month,2024-11,0.1197514962927142,1.0,4,False,False
month,2024-12,0.070278401082571,0.5,4,False,False
month,2025-01,-0.040755161148235186,0.5,4,False,False
month,2025-02,-0.08059220984782112,0.5,4,False,False
month,2025-03,-0.003457194464237867,0.5,4,False,False
month,2025-04,-0.019356606478143745,0.25,4,False,False
month,2025-05,0.07680008964595197,0.75,4,False,False
month,2025-06,0.01198689890373017,0.5,4,False,False
month,2025-07,0.06911701867355013,0.6,5,False,False
month,2025-08,0.00579967946702431,0.5,4,False,False
month,2025-09,0.08654740943725292,1.0,4,False,False
month,2025-10,0.032635094923776364,0.6,5,False,False
month,2025-11,-0.03082946418758037,0.5,4,False,False
month,2025-12,-0.006917345646705875,0.75,4,False,False
month,2026-01,0.0691476508104163,0.75,4,False,False
month,2026-02,-0.0433527407297567,0.25,4,False,False
month,2026-03,0.018770517664539854,0.5,4,False,False
month,2026-04,0.28430138529769255,1.0,4,True,False
month,2026-05,0.1029625651238526,0.6666666666666666,3,False,False
quarter,2022Q1,-0.07666316412593066,0.46153846153846156,13,False,False
quarter,2022Q2,-0.1250420151885131,0.3333333333333333,12,False,True
quarter,2022Q3,0.18105070278455027,0.6923076923076923,13,False,False
quarter,2022Q4,0.08738637907350544,0.5384615384615384,13,False,False
quarter,2023Q1,0.14250314678310705,0.8333333333333334,12,False,False
quarter,2023Q2,0.20132270476366232,0.6666666666666666,12,False,False
quarter,2023Q3,-0.029993229463398885,0.38461538461538464,13,False,False
quarter,2023Q4,0.06856097262610317,0.6923076923076923,13,False,False
quarter,2024Q1,0.1925467535791694,0.6666666666666666,12,False,False
quarter,2024Q2,-0.011794154678233748,0.5833333333333334,12,False,False
quarter,2024Q3,-0.03354538992832745,0.3076923076923077,13,False,False
quarter,2024Q4,0.2686577873138625,0.6923076923076923,13,False,False
quarter,2025Q1,-0.12111185082428688,0.5,12,False,False
quarter,2025Q2,0.06861454259078026,0.5,12,False,False
quarter,2025Q3,0.1683835033758163,0.6923076923076923,13,False,False
quarter,2025Q4,-0.006123367875605301,0.6153846153846154,13,False,False
quarter,2026Q1,0.04199560224790955,0.5,12,False,False
quarter,2026Q2,0.4165363503200603,0.8571428571428571,7,True,False
