date,model_version,data_mode,rebalance_due,signal_date,economic_application_date,holdings,weights,exposure,cash,gross_daily_return,turnover,commissions,spread_cost,slippage,market_impact,net_daily_return,gross_equity,net_equity,drawdown,spy_daily_return,qqq_daily_return
2026-06-18,growth_champion_final,exact,False,2026-06-18,2026-06-22,"ARM,KEEL","0.3000000000,0.3000000000",0.6,0.4,0.0162013340146788,0.0,0.0,0.0,0.0,0.0,0.0162013340146788,1.0162013340146787,1.0162013340146787,0.0,0.0103969924419595,0.0250654376817025
2026-06-22,growth_champion_final,exact,False,2026-06-22,2026-06-23,"ARM,KEEL","0.3000000000,0.3000000000",0.6,0.4,-0.0040204413064052,0.0,0.0,0.0,0.0,0.0,-0.0040204413064052,1.012115756195782,1.012115756195782,-0.004020441306405109,-0.0031469796939627,-0.0025101068410373
2026-06-23,growth_champion_final,exact,False,2026-06-23,2026-06-24,"ARM,KEEL","0.3000000000,0.3000000000",0.6,0.4,-0.0331132661013749,0.0,0.0,0.0,0.0,0.0,-0.0331132661013749,0.9786012978354769,0.9786012978354769,-0.03700057746495611,-0.0145219540104916,-0.0329290431479136
2026-06-24,growth_champion_final,exact,False,2026-06-24,2026-06-25,"ARM,KEEL","0.3000000000,0.3000000000",0.6,0.4,-0.027803631116294,0.0,0.0,0.0,0.0,0.0,-0.027803631116294,0.9513926283405327,0.9513926283405327,-0.06377545817432462,-0.0004635170636431,-0.0042458196499927
2026-06-25,growth_champion_final,exact,False,2026-06-25,2026-06-26,"MU,ARM,AMAT,KEEL","0.1125000000,0.1125000000,0.1125000000,0.1125000000",0.4499999999999999,0.55,-0.0243165664484544,0.6,0.0,0.0,0.0,0.0,-0.0243165664484544,0.9282580262749205,0.9282580262749205,-0.08654122445630241,0.0014456352254532,0.0081056117266657
2026-06-26,growth_champion_final,exact,False,2026-06-26,2026-06-29,"AMAT,ARM,KEEL,MU","0.1125000000,0.1125000000,0.1125000000,0.1125000000",0.4499999999999996,0.55,-0.0084706607393081,0.0,0.0,0.0,0.0,0.0,-0.0084706607393081,0.9203950674558059,0.9203950674558059,-0.0942788238432768,-0.0072313736168696,-0.0137636244512092
2026-06-29,growth_champion_final,exact,False,2026-06-29,2026-06-30,"AMAT,ARM,KEEL,MU","0.1125000000,0.1125000000,0.1125000000,0.1125000000",0.4499999999999996,0.55,0.0348521956856534,0.0,0.0,0.0,0.0,0.0,0.0348521956856534,0.9524728564548858,0.9524728564548858,-0.06271245217522259,0.0164748623801593,0.0248542108831455
2026-06-30,growth_champion_final,exact,False,2026-06-30,2026-07-01,"AMAT,ARM,KEEL,MU","0.1125000000,0.1125000000,0.1125000000,0.1125000000",0.4499999999999996,0.55,-0.0122646473136901,0.0,0.0,0.0,0.0,0.0,-0.0122646473136901,0.9407911127946036,0.9407911127946036,-0.07420795338080699,0.007786800986842,0.017014704222517
2026-07-01,growth_champion_final,exact,False,2026-07-01,2026-07-02,"AMAT,ARM,KEEL,MU","0.1125000000,0.1125000000,0.1125000000,0.1125000000",0.4499999999999996,0.55,-0.0124813304268388,0.0,0.0,0.0,0.0,0.0,-0.0124813304268388,0.9290487880531808,0.9290487880531808,-0.08576306982120041,-0.0013525044380584,-0.0152499200591984
2026-07-02,growth_champion_final,exact,False,2026-07-02,2026-07-06,"KEEL,ARM,SE,AMBA","0.1000000000,0.1000000000,0.1000000000,0.1000000000",0.4,0.6,-0.0239168405732587,0.4499999999999996,0.0,0.0,0.0,0.0,-0.0239168405732587,0.9068288763045337,0.9068288763045337,-0.10762872872647222,-0.0013140694806872,-0.0173338770501427
2026-07-06,growth_champion_final,exact,False,2026-07-06,2026-07-08,"ARM,SE,AMBA,KEEL","0.1000000000,0.1000000000,0.1000000000,0.1000000000",0.4,0.6,0.0094025262252704,0.0,0.0,0.0,0.0,0.0,0.0094025262252704,0.9153553585958195,0.9153553585958195,-0.09923818444564503,0.0087274090930398,0.0143418917884157
2026-07-08,growth_champion_final,exact,False,2026-07-08,2026-07-09,"AMBA,ARM,KEEL,SE","0.1000000000,0.1000000000,0.1000000000,0.1000000000",0.4,0.6,-0.0126123378596097,0.0,0.0,0.0,0.0,0.0,-0.0126123378596097,0.9038105875516048,0.9038105875516048,-0.110598896794452,-0.0078266487241989,-0.0157438985743348
2026-07-09,growth_champion_final,exact,False,2026-07-09,2026-07-10,"AMBA,ARM,KEEL,SE","0.1000000000,0.1000000000,0.1000000000,0.1000000000",0.4,0.6,0.0153429953706216,0.0,0.0,0.0,0.0,0.0,0.0153429953706216,0.9176777492123279,0.9176777492123279,-0.09695281978534354,0.0084652500025792,0.0166423406258264
2026-07-10,growth_champion_final,exact,False,2026-07-10,,"KEEL,ARM,BABA,SE","0.1000000000,0.1000000000,0.1000000000,0.1000000000",0.4,0.6,-0.0052920101741461,0.2,0.0,0.0,0.0,0.0,-0.0052920101741461,0.9128213892269088,0.9128213892269088,-0.10173175465077333,0.0043101596888019,0.0030831495111482
