model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,average_exposure,average_cash,average_turnover,base_CAGR,base_Sharpe,base_max_drawdown,return_lost_vs_base,DD_improvement_vs_base,CAGR_QQQ,CAGR_SPY,Sharpe_QQQ,Sharpe_SPY,max_drawdown_QQQ,max_drawdown_SPY,beats_SPY_CAGR,beats_QQQ_CAGR,beats_SPY_Sharpe,beats_QQQ_Sharpe
2008-01-01_base_growth_v2,2008-12-31,2026-06-09,878,15.67975733949443,0.17514173206004724,0.19291071291812686,0.9642979349522935,1.4740849011752517,0.5049536217798569,-0.3468471647806167,0.571753986332574,2008-01-01,base_growth_v2,0.5996404024234039,0.400359597576596,0.10848475235235619,0.1751417320600472,0.9642979349522938,-0.3468471647806163,-2.7755575615628914e-17,-4.440892098500626e-16,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2008-01-01_spy_trend_filter,2008-12-31,2026-06-09,878,15.195743084868898,0.17315888268024038,0.17510753073925908,1.0333122831797217,1.6607741110671552,0.661637989305762,-0.2617124250406647,0.571753986332574,2008-01-01,spy_trend_filter,0.5470301050958132,0.4529698949041867,0.09600861185807373,0.1751417320600472,0.9642979349522938,-0.3468471647806163,0.0019828493798068336,0.08513473973995156,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2008-01-01_qqq_trend_filter,2008-12-31,2026-06-09,878,13.715908177942147,0.16672998841409603,0.17763388866898217,0.9890597721512565,1.553387947019414,0.6392843549237363,-0.26080724036174197,0.571753986332574,2008-01-01,qqq_trend_filter,0.5511210402366158,0.44887895976338416,0.09718065212456577,0.1751417320600472,0.9642979349522938,-0.3468471647806163,0.00841174364595118,0.08603992441887431,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2008-01-01_dual_trend_filter,2008-12-31,2026-06-09,878,14.177885750136545,0.16880002846474862,0.1738566251824982,1.0172424290168218,1.620087682888704,0.6846294873820763,-0.24655676037299445,0.571753986332574,2008-01-01,dual_trend_filter,0.5391143875559499,0.46088561244405013,0.09435869067067637,0.1751417320600472,0.9642979349522938,-0.3468471647806163,0.006341703595298592,0.10029040440762182,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2008-01-01_realized_volatility_filter,2008-12-31,2026-06-09,878,16.160164884125365,0.17705688080729653,0.18430649204372548,1.0094872678747724,1.581467517438646,0.48207295784459503,-0.36728233336078153,0.571753986332574,2008-01-01,realized_volatility_filter,0.5692303796443606,0.4307696203556393,0.10187882980110334,0.1751417320600472,0.9642979349522938,-0.3468471647806163,-0.0019151487472493234,-0.020435168580165253,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2008-01-01_drawdown_aware_trend_filter,2008-12-31,2026-06-09,878,14.395309889121496,0.16975379167464477,0.1855044036430945,0.969426091390394,1.4879763605343672,0.599229817219644,-0.28328662359006507,0.571753986332574,2008-01-01,drawdown_aware_trend_filter,0.5713467337974077,0.42865326620259214,0.10120430138115738,0.1751417320600472,0.9642979349522938,-0.3468471647806163,0.00538794038540244,0.06356054119055121,0.2079880722494447,0.1468146461773043,1.0984348322260769,0.9480171641108704,-0.347443000911486,-0.2906543523729975,True,False,True,False
2010-01-01_base_growth_v2,2011-01-03,2026-06-09,777,9.693358702074674,0.165986141420146,0.1928699052328452,0.9222535265280363,1.3776277461888935,0.4398537662723417,-0.3773666480722444,0.5752895752895753,2010-01-01,base_growth_v2,0.5995839966132808,0.40041600338671907,0.11094901749401931,0.1659861414201462,0.922253526528037,-0.3773666480722438,1.942890293094024e-16,-6.106226635438361e-16,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,False,False
2010-01-01_spy_trend_filter,2011-01-03,2026-06-09,777,10.756756317554986,0.17317201694214046,0.17895139800346901,1.0148836390549014,1.593992334445472,0.5868562327963719,-0.29508422551290836,0.5752895752895753,2010-01-01,spy_trend_filter,0.5528763504696197,0.4471236495303802,0.0992964417488713,0.1659861414201462,0.922253526528037,-0.3773666480722438,-0.007185875521994262,0.08228242255933543,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,True,False
2010-01-01_qqq_trend_filter,2011-01-03,2026-06-09,777,9.896718351825148,0.16741053890722135,0.17979141735560572,0.982540289452336,1.5315886693329988,0.5688091892134881,-0.2943175709568012,0.5752895752895753,2010-01-01,qqq_trend_filter,0.5532519502812344,0.4467480497187654,0.10000950655450837,0.1659861414201462,0.922253526528037,-0.3773666480722438,-0.001424397487075152,0.08304907711544257,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,True,False
2010-01-01_dual_trend_filter,2011-01-03,2026-06-09,777,10.336591252008647,0.17040838710147344,0.17749634448518362,1.0079203797725393,1.576319245064424,0.6075437787813985,-0.2804874200889289,0.5752895752895753,2010-01-01,dual_trend_filter,0.5439316915249608,0.4560683084750392,0.09753393964350679,0.1659861414201462,0.922253526528037,-0.3773666480722438,-0.004422245681327236,0.09687922798331489,0.1914409250277042,0.140938064989003,1.037268036188666,0.9523964578657974,-0.3474430009114863,-0.2906543523729976,True,False,True,False
