date,selected_tickers,selected_count,ticker_weights_before_vol_targeting,estimated_portfolio_volatility,target_volatility,raw_volatility_target_exposure,uncapped_vol_target_exposure,exposure_cap_60,dual_trend_cap,final_exposure,cash,reason_final_exposure,final_exposure_equals_40_exactly,volatility_reference_date,volatility_reference_stale,data_source,raw_target_feature_source,stale_data_flag
2026-05-15,"AMD,INTC",2,"AMD:0.2000,INTC:0.2000",0.7909654044171931,0.22,0.4,,,,,0.6,unknown_or_missing_inputs,False,2026-05-15,False,,,unknown
2026-06-18,"AFJK,AIXI,ALAB,ALNT",4,"AFJK:0.1000,AIXI:0.1000,ALAB:0.1000,ALNT:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-22,"KEEL,MU",2,"KEEL:0.2000,MU:0.2000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-23,"INTC,KEEL,MU",3,"INTC:0.1333,KEEL:0.1333,MU:0.1333",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-24,"INTC,KEEL,SMCI,MU",4,"INTC:0.1000,KEEL:0.1000,SMCI:0.1000,MU:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-25,"INTC,KEEL,MU,AMAT",4,"INTC:0.1000,KEEL:0.1000,MU:0.1000,AMAT:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-26,"INTC,KEEL,MU,AMAT",4,"INTC:0.1000,KEEL:0.1000,MU:0.1000,AMAT:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-29,"INTC,KEEL,MU,AMAT",4,"INTC:0.1000,KEEL:0.1000,MU:0.1000,AMAT:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-06-30,"INTC,KEEL,AMAT,AMBA",4,"INTC:0.1000,KEEL:0.1000,AMAT:0.1000,AMBA:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-07-01,"RBLX,INTC,KEEL,AMBA",4,"RBLX:0.1000,INTC:0.1000,KEEL:0.1000,AMBA:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
2026-07-02,"RBLX,INTC,SE,AMBA",4,"RBLX:0.1000,INTC:0.1000,SE:0.1000,AMBA:0.1000",0.7909654044171931,0.22,0.4,0.4,0.6,0.6,0.4,0.6,vol_target_output_at_min_exposure_floor_40pct,True,2026-05-15,True,current_growth_candidate_allocation,raw_target_return_exact,unknown
