model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,candidate,window_start,model_scope,cost_scenario,commission_bps,slippage_bps,all_in_cost_bps,average_exposure,average_cash,average_turnover,CAGR_SPY,Sharpe_SPY,max_drawdown_SPY,CAGR_QQQ,Sharpe_QQQ,max_drawdown_QQQ,production_champion_Sharpe,production_champion_max_drawdown,production_champion_return,return_vs_SPY,Sharpe_vs_SPY,drawdown_vs_SPY,return_vs_QQQ,Sharpe_vs_QQQ,drawdown_vs_QQQ,beats_SPY_CAGR_after_costs,beats_QQQ_CAGR_after_costs,beats_SPY_Sharpe_after_costs,beats_QQQ_Sharpe_after_costs
growth_champion_v3_2008-01-01_zero_cost,2008-12-31,2026-06-09,878,14.177885750136541,0.16880002846474862,0.1738566251824982,1.0172424290168216,1.620087682888703,0.6846294873820754,-0.2465567603729948,0.571753986332574,growth_champion_v3,2008-01-01,window,zero_cost,0.0,0.0,0.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.021985382287444316,0.06922526490595116,0.04409759200000274,-0.03918804378469609,-0.08119240320925525,0.10088624053849121,True,False,True,False
growth_champion_v3_2015-01-01_zero_cost,2016-01-04,2026-06-05,525,9.015101400900438,0.2475415649772943,0.2091865364809956,1.200583085515422,1.842933156830975,0.783925415647351,-0.3157718324170917,0.5942857142857143,growth_champion_v3,2015-01-01,window,zero_cost,0.0,0.0,0.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.0938295723617098,0.2162767003742948,0.019947984875493152,0.0368690248673236,0.10129881826667475,0.030010560518759055,True,True,True,True
growth_champion_v3_2020-01-01_zero_cost,2020-12-31,2026-06-10,274,2.992597479144843,0.2898009376344284,0.27826391336885054,1.0851723169205112,2.2514970517519246,0.6491862403725529,-0.44640646953348606,0.5218978102189781,growth_champion_v3,2020-01-01,window,zero_cost,0.0,0.0,0.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.13571185379384668,0.10606292390605576,-0.21125099865589306,0.10893192038654048,0.18901863036307465,-0.10087566004136939,True,True,True,True
growth_champion_v3_2022-01-03_zero_cost,2023-01-04,2026-06-10,173,4.454908846923825,0.6397356904633134,0.32457691047717635,1.7440315023438893,3.2263075841647604,2.6197105317588307,-0.2442009079658909,0.5780346820809249,growth_champion_v3,2022-01-03,window,zero_cost,0.0,0.0,0.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.4054917740852927,0.22396457141551163,-0.05856189403495479,0.27773518974433326,0.03414771232867131,-0.01673272047402599,True,True,True,True
growth_champion_v3_2008-01-01_very_low_cost,2008-12-31,2026-06-09,878,13.806245630238475,0.16713954762901273,0.17385934253468632,1.0087308662288452,1.6062655075879653,0.6728962603591221,-0.24838828430969584,0.570615034168565,growth_champion_v3,2008-01-01,window,very_low_cost,1.0,2.0,3.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.020324901451708427,0.06071370211797478,0.04226606806330169,-0.04084852462043198,-0.08970396599723163,0.09905471660179016,True,False,True,False
growth_champion_v3_2015-01-01_very_low_cost,2016-01-04,2026-06-05,525,8.87577309891774,0.2458649970022102,0.20918476911967968,1.193907799985508,1.832905013434614,0.7738324332044737,-0.3177238203677669,0.5942857142857143,growth_champion_v3,2015-01-01,window,very_low_cost,1.0,2.0,3.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.09215300438662571,0.20960141484438066,0.01799599692481796,0.035192456892239515,0.09462353273676061,0.02805857256808386,True,True,True,True
growth_champion_v3_2020-01-01_very_low_cost,2020-12-31,2026-06-10,274,2.962203154018464,0.2879904091317933,0.27826244827279134,1.0799246507447327,2.2406012004684253,0.6428538212103259,-0.4479873956253112,0.5218978102189781,growth_champion_v3,2020-01-01,window,very_low_cost,1.0,2.0,3.0,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.1339013252912116,0.10081525773027722,-0.2128319247477182,0.1071213918839054,0.1837709641872961,-0.10245658613319453,True,True,True,True
growth_champion_v3_2022-01-03_very_low_cost,2023-01-04,2026-06-10,173,4.427883536736571,0.6373634435345437,0.32457494043011015,1.7393843706884058,3.217688615329914,2.6054344860984897,-0.24462846674335847,0.5780346820809249,growth_champion_v3,2022-01-03,window,very_low_cost,1.0,2.0,3.0,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.403119527156523,0.21931743976002815,-0.05898945281242238,0.27536294281556356,0.029500580673187837,-0.017160279251493576,True,True,True,True
growth_champion_v3_2008-01-01_realistic_us_liquid,2008-12-31,2026-06-09,878,13.324813643826518,0.16492910938706906,0.17386327342299385,0.9973807642668682,1.5883706636205785,0.6575503411688862,-0.25082354773610926,0.570615034168565,growth_champion_v3,2008-01-01,window,realistic_us_liquid,2.0,5.0,7.0,0.5391143875559499,0.46088561244405013,0.09435869067067636,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.01811446320976476,0.04936360015599772,0.03983080463688826,-0.04305896286237565,-0.10105406795920868,0.09661945317537673,True,False,True,False
growth_champion_v3_2015-01-01_realistic_us_liquid,2016-01-04,2026-06-05,525,8.6930014594812,0.24363294132023205,0.20918268028377995,1.1850057276183619,1.8195252081253617,0.7605971857962303,-0.3203179631346982,0.5942857142857143,growth_champion_v3,2015-01-01,window,realistic_us_liquid,2.0,5.0,7.0,0.53386062255391,0.46613937744608996,0.08933999074054086,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685,0.08992094870464756,0.20069934247723464,0.015401854157886696,0.032960401210261364,0.08572146036961459,0.0254644298011526,True,True,True,True
