candidate,window_start,stress_period,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate
growth_champion_v2,2008-01-01,2011_euro_crisis,2011-07-01,2011-12-29,26,-0.1129133585728384,-0.2137245741979447,0.1543174770468963,-1.4776485078340988,-3.019287775697742,-1.3491955834193723,-0.1584088895816615,0.3076923076923077
growth_champion_v3,2008-01-01,2011_euro_crisis,2011-07-01,2011-12-29,26,-0.1183837332155481,-0.223425076403129,0.0973031076747844,-2.5435094725192675,-3.8129272435063815,-1.724405561705326,-0.1295664322621275,0.3076923076923077
growth_champion_v2,2008-01-01,2018_q4_selloff,2018-10-02,2018-12-28,13,-0.0991019369001591,-0.3422209676256634,0.2000943708398069,-1.9845150674028469,-3.104371373832753,-2.6969523371754343,-0.1268917373542009,0.3846153846153846
growth_champion_v3,2008-01-01,2018_q4_selloff,2018-10-02,2018-12-28,13,-0.0564434011341098,-0.2079999098081622,0.1595339554395732,-1.3781346845129436,-1.812210556356635,-2.4654971945320256,-0.0843642857389835,0.3846153846153846
growth_champion_v2,2008-01-01,covid_crash_2020,2020-02-18,2020-04-29,11,-0.1325053603611378,-0.4904718711766023,0.3710547005729586,-1.6140646282792257,-4.358359670698282,-2.230364852160632,-0.2199065640320977,0.6363636363636364
growth_champion_v3,2008-01-01,covid_crash_2020,2020-02-18,2020-04-29,11,-0.0977746812390134,-0.3861864639313184,0.2347749794239646,-1.949109568443232,-4.720610575728273,-3.020786887208708,-0.1278430019564093,0.6363636363636364
growth_champion_v2,2008-01-01,2022_bear_market,2022-01-04,2022-12-23,50,-0.1583466290966634,-0.1633665957776668,0.2417745680626683,-0.620526870426025,-0.8067729837069647,-0.6081206834553635,-0.2686417354683811,0.52
growth_champion_v3,2008-01-01,2022_bear_market,2022-01-04,2022-12-23,50,-0.1057461430386227,-0.1092078345835184,0.1362785605295721,-0.785626115871263,-0.8645829172546651,-0.6985142395569289,-0.1563430326814662,0.52
growth_champion_v2,2008-01-01,2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.1636060695129276,0.5686274509803921
growth_champion_v3,2008-01-01,2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.1636060695129276,0.5686274509803921
growth_champion_v2,2010-01-01,2011_euro_crisis,2011-07-01,2011-12-29,26,-0.1720000845804948,-0.3153042910985045,0.1639048322273747,-2.2200300445315264,-3.4056832154636845,-1.689539360724561,-0.1866214534139565,0.3461538461538461
growth_champion_v3,2010-01-01,2011_euro_crisis,2011-07-01,2011-12-29,26,-0.1654366171677784,-0.3043685255420786,0.1187688455791698,-2.9846249998422203,-3.4261763148073,-1.79965219241804,-0.1691263049740319,0.3461538461538461
growth_champion_v2,2010-01-01,2018_q4_selloff,2018-10-02,2018-12-28,13,-0.1437517142974032,-0.4636194368598227,0.2174492824856499,-2.7381876920883426,-4.666928447280983,-3.4075169088437587,-0.1360578536401565,0.3846153846153846
growth_champion_v3,2010-01-01,2018_q4_selloff,2018-10-02,2018-12-28,13,-0.0964659528722629,-0.3344618858037388,0.1838872424511658,-2.1124928684267266,-2.6502906193783358,-3.785766518719389,-0.0883472037036444,0.3846153846153846
growth_champion_v2,2010-01-01,covid_crash_2020,2020-02-18,2020-04-29,11,-0.1325053603611378,-0.4904718711766023,0.3710547005729586,-1.6140646282792257,-4.358359670698282,-2.230364852160632,-0.2199065640320977,0.6363636363636364
