date,old_portfolio_value,new_portfolio_value,old_daily_return,new_daily_return,old_holdings,new_holdings,changed
2026-06-17,100000.0,100000.0,0.0,0.0,"KEEL,ARM","KEEL,ARM",False
2026-06-18,101620.13340146789,101620.13340146789,0.0162013340146788,0.0162013340146788,"ARM,KEEL","ARM,KEEL",False
2026-06-22,101211.5756195782,101211.5756195782,-0.0040204413064052,-0.0040204413064052,"ARM,KEEL","ARM,KEEL",False
2026-06-23,97860.12978354769,97860.12978354769,-0.0331132661013749,-0.0331132661013749,"ARM,KEEL","ARM,KEEL",False
2026-06-24,95139.26283405324,95139.26283405324,-0.027803631116294,-0.027803631116294,"ARM,KEEL","ARM,KEEL",False
2026-06-25,92825.802627492,92825.802627492,-0.0243165664484544,-0.0243165664484544,"KEEL,ARM,MU,AMAT","KEEL,ARM,MU,AMAT",False
2026-06-26,92039.50674558054,92039.50674558054,-0.0084706607393081,-0.0084706607393081,"AMAT,ARM,KEEL,MU","AMAT,ARM,KEEL,MU",False
2026-06-29,95247.28564548852,95247.28564548852,0.0348521956856534,0.0348521956856534,"AMAT,ARM,KEEL,MU","AMAT,ARM,KEEL,MU",False
2026-06-30,94079.1112794603,94079.1112794603,-0.0122646473136901,-0.0122646473136901,"AMAT,ARM,KEEL,MU","AMAT,ARM,KEEL,MU",False
2026-07-01,92904.878805318,92904.878805318,-0.0124813304268388,-0.0124813304268388,"AMAT,ARM,KEEL,MU","AMAT,ARM,KEEL,MU",False
2026-07-02,90682.88763045328,90682.88763045328,-0.0239168405732587,-0.0239168405732587,"KEEL,ARM,SE,AMBA","KEEL,ARM,SE,AMBA",False
2026-07-06,91535.53585958184,91535.53585958184,0.0094025262252704,0.0094025262252704,"AMBA,ARM,KEEL,SE","AMBA,ARM,KEEL,SE",False
2026-07-08,90381.05875516038,90381.05875516038,-0.0126123378596097,-0.0126123378596097,"AMBA,ARM,KEEL,SE","AMBA,ARM,KEEL,SE",False
2026-07-09,91767.77492123267,91767.77492123267,0.0153429953706216,0.0153429953706216,"AMBA,ARM,KEEL,SE","AMBA,ARM,KEEL,SE",False
2026-07-10,91282.13892269076,91282.13892269076,0.0,-0.0052920101741461,"KEEL,ARM,BABA,SE","KEEL,ARM,BABA,SE",False
