ticker,trade_count,avg_weight,max_weight,average_daily_dollar_volume,median_daily_dollar_volume,minimum_daily_dollar_volume,liquidity_confidence,illiquid_flag,microcap_flag,stale_price_flag,SPAC_like_flag,estimated_position_size_10000,participation_rate_10000,estimated_position_size_100000,participation_rate_100000,estimated_position_size_1000000,participation_rate_1000000,estimated_position_size_10000000,participation_rate_10000000
AVGO,101,0.19673371081705207,0.5,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,5000.0,,50000.0,,500000.0,,5000000.0,
TSLA,73,0.20513987940744838,0.5,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,5000.0,,50000.0,,500000.0,,5000000.0,
CCJ,53,0.20245872952197427,0.3333333333333333,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,3333.333333333333,,33333.33333333333,,333333.3333333333,,3333333.333333333,
AMD,201,0.20078036442440172,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
AMAT,138,0.2034892179580295,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
VIST,70,0.19284551383100437,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
YPF,58,0.2009587113134739,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
NVDA,54,0.2027571284327518,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
INTC,44,0.18241537186551124,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
META,31,0.20791637466809018,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
NFLX,25,0.1932424906469508,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
AMZN,17,0.21722183284152466,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
MSFT,1,0.25,0.25,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2500.0,,25000.0,,250000.0,,2500000.0,
QCOM,5,0.1785608642901422,0.2136821910330908,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2136.821910330908,,21368.21910330908,,213682.1910330908,,2136821.910330908,
GOOGL,3,0.18937190247209154,0.2094798892016232,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2094.798892016232,,20947.98892016232,,209479.88920162318,,2094798.892016232,
TXN,2,0.18048634459600887,0.2071626968862547,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2071.626968862547,,20716.269688625467,,207162.69688625468,,2071626.9688625468,
COST,1,0.201493686086583,0.201493686086583,,,,low,unknown_volume,unknown_market_cap,not_evaluable_without_volume,False,2014.9368608658299,,20149.3686086583,,201493.686086583,,2014936.86086583,
