ticker,first_available_snapshot_date,last_available_snapshot_date,snapshot_observations,realized_return_observations,missing_data_pct_vs_snapshot_calendar,sufficient_history_for_2022_replay,sufficient_history_for_2020,sufficient_history_for_2015,sufficient_history_for_2010,sufficient_history_for_2008
AMAT,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
AMD,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
AMZN,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
AVGO,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
CCJ,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
COST,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
GOOGL,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
INTC,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
META,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
MSFT,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
NFLX,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
NVDA,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
QCOM,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
TSLA,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
TXN,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
VIST,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
YPF,2022-01-03,2026-05-15,440,440,0.0,True,False,False,False,False
