source_key,source_file,exists,loaded,row_count,date_min,date_max,scope,namespace
performance,growth_official_paper_performance.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
state,growth_official_paper_state.csv,True,True,8,2026-07-10,2026-07-13,official_forward_history,official_only
actions,growth_official_paper_actions.csv,True,True,8,2026-07-10,2026-07-13,official_forward_history,official_only
trades,growth_official_paper_trades.csv,True,True,3,2026-07-10,2026-07-10,official_forward_history,official_only
trade_lifecycle,growth_official_trade_lifecycle.csv,True,True,8,2026-07-10,2026-07-13,official_forward_history,official_only
benchmark_daily,growth_official_benchmark_daily.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
benchmark_equity,growth_official_benchmark_equity.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
rebalance_report,growth_official_paper_rebalance_report.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
cost_ledger,growth_official_estimated_cost_ledger.csv,True,True,3,2026-07-10,2026-07-10,official_forward_history,official_only
position_pnl,growth_official_position_pnl.csv,True,True,6,2026-07-10,2026-07-13,official_forward_history,official_only
realized_pnl,growth_official_realized_pnl.csv,True,False,0,,,official_forward_history,official_only
monitor,growth_official_paper_monitor.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
daily_status,official_paper_daily_run_status.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
integrity,official_paper_integrity_status.csv,True,True,1,2026-07-13,2026-07-13,official_forward_history,official_only
version_history,official_paper_version_history.csv,True,True,2,2026-07-10,2026-07-13,official_forward_history,official_only
market_data_integrity,official_market_data_integrity.csv,True,True,5,,,official_forward_history,official_only
accounting_reconciliation,official_accounting_reconciliation.csv,True,True,1,2026-07-10,2026-07-10,official_forward_history,official_only
accounting_audit,official_forward_accounting_audit.csv,True,True,1,2026-07-13,2026-07-13,official_forward_history,official_only
cost_duplication,official_cost_duplication_audit.csv,True,True,1,2026-07-10,2026-07-10,official_forward_history,official_only
execution_lag,official_execution_lag_audit.csv,True,True,1,2026-07-10,2026-07-10,official_forward_history,official_only
data_quality,official_paper_data_quality.csv,True,True,1,2026-07-12,2026-07-12,official_forward_history,official_only
scheduler,growth_rebalance_schedule.csv,True,True,882,,,official_forward_history,official_only
pipeline_history,growth_pipeline_stage_validation.csv,True,True,15,,,official_forward_history,official_only
governance_history,growth_paper_governance_history.csv,True,True,7,2026-07-10,2026-07-13,official_forward_history,official_only
optional_expected,growth_official_daily_portfolio.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_position_history.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_portfolio_equity.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_accounting.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_governance.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_pipeline_history.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_official_scheduler.csv,False,False,0,,,official_forward_history,missing_optional
optional_expected,growth_rebalance_history.csv,False,False,0,,,official_forward_history,missing_optional
