module,dependency_pattern,uses_canonical_manager,allowed_for_growth_official,notes
financial_data_system.py,yfinance,False,False,direct market data dependency detected
daily_research_run.py,yahoo_ohlcv_price_cache,True,True,direct market data dependency detected
daily_research_run.py,yfinance,True,True,direct market data dependency detected
daily_research_run.py,forecast_history,True,True,direct market data dependency detected
daily_research_run.py,current_growth,True,True,direct market data dependency detected
daily_research_run.py,growth_official,True,True,direct market data dependency detected
current_growth_feature_generation.py,yahoo_ohlcv_price_cache,True,True,direct market data dependency detected
current_growth_feature_generation.py,forecast_history,True,True,direct market data dependency detected
current_growth_feature_generation.py,current_growth,True,True,direct market data dependency detected
growth_candidate_paper_trading.py,forecast_history,False,False,direct market data dependency detected
growth_candidate_paper_trading.py,current_growth,False,False,direct market data dependency detected
official_paper_baseline_reset.py,growth_official,False,False,direct market data dependency detected
multi_source_market_data_validation.py,yahoo_ohlcv_price_cache,False,True,direct market data dependency detected
multi_source_market_data_validation.py,yfinance,False,True,direct market data dependency detected
multi_source_market_data_validation.py,forecast_history,False,True,direct market data dependency detected
multi_source_market_data_validation.py,current_growth,False,True,direct market data dependency detected
multi_source_market_data_validation.py,growth_official,False,True,direct market data dependency detected
benchmark_daily_series_export.py,yahoo_ohlcv_price_cache,False,False,direct market data dependency detected
benchmark_daily_series_export.py,.yfinance_cache,False,False,direct market data dependency detected
benchmark_daily_series_export.py,yf_cache,False,False,direct market data dependency detected
benchmark_daily_series_export.py,yfinance,False,False,direct market data dependency detected
forecast_history_freshness_refresh.py,yahoo_ohlcv_price_cache,False,False,direct market data dependency detected
forecast_history_freshness_refresh.py,forecast_history,False,False,direct market data dependency detected
canonical_market_data_manager.py,yahoo_ohlcv_price_cache,False,True,direct market data dependency detected
canonical_market_data_manager.py,.yfinance_cache,False,True,direct market data dependency detected
canonical_market_data_manager.py,yf_cache,False,True,direct market data dependency detected
canonical_market_data_manager.py,yfinance,False,True,direct market data dependency detected
canonical_market_data_manager.py,forecast_history,False,True,direct market data dependency detected
canonical_market_data_manager.py,current_growth,False,True,direct market data dependency detected
canonical_market_data_manager.py,growth_official,False,True,direct market data dependency detected
