model,calibration_method,predicted_probability_bucket,sample_size,avg_predicted_probability,actual_positive_rate,bucket_calibration_error
logistic_regression,raw,"(0.492, 0.497]",69,0.4954721584912842,0.5652173913043478,0.0697452328130636
logistic_regression,raw,"(0.497, 0.499]",67,0.4982503346646288,0.4925373134328358,0.005713021231793014
logistic_regression,raw,"(0.499, 0.501]",68,0.500189366578978,0.5294117647058824,0.029222398126904414
logistic_regression,raw,"(0.501, 0.504]",68,0.5026236172570163,0.7352941176470589,0.23267050039004256
logistic_regression,raw,"(0.504, 0.58]",67,0.5116872166780729,0.6417910447761194,0.13010382809804644
logistic_regression,platt,"(0.606, 0.609]",69,0.6083350753154649,0.5652173913043478,0.04311768401111715
logistic_regression,platt,"(0.609, 0.61]",67,0.6096190358844157,0.4925373134328358,0.11708172245157988
logistic_regression,platt,"(0.61, 0.611]",68,0.61051414050918,0.5294117647058824,0.0811023758032976
logistic_regression,platt,"(0.611, 0.612]",68,0.6116368335715537,0.7352941176470589,0.12365728407550514
logistic_regression,platt,"(0.612, 0.647]",67,0.6157921902477914,0.6417910447761194,0.025998854528327953
logistic_regression,isotonic,"(0.499, 0.543]",186,0.542473726424938,0.5483870967741935,0.005913370349255542
logistic_regression,isotonic,"(0.543, 0.69]",108,0.6837742504409171,0.7037037037037037,0.01992945326278661
logistic_regression,isotonic,"(0.69, 1.0]",45,0.8371814043185046,0.5111111111111111,0.32607029320739356
random_forest_small,raw,"(0.327, 0.412]",68,0.38278018278562176,0.5588235294117647,0.17604334662614296
random_forest_small,raw,"(0.412, 0.508]",69,0.46623709634975025,0.5942028985507246,0.12796580220097437
random_forest_small,raw,"(0.508, 0.527]",67,0.5185357267048796,0.7611940298507462,0.24265830314586667
random_forest_small,raw,"(0.527, 0.569]",68,0.5493302723573686,0.6764705882352942,0.1271403158779255
random_forest_small,raw,"(0.569, 0.658]",67,0.5929960994601906,0.373134328358209,0.21986177110198163
random_forest_small,platt,"(0.409, 0.509]",68,0.47513727546793944,0.5588235294117647,0.08368625394382528
random_forest_small,platt,"(0.509, 0.614]",69,0.5685164686808591,0.5942028985507246,0.025686429869865468
random_forest_small,platt,"(0.614, 0.633]",67,0.624315174843345,0.7611940298507462,0.13687885500740127
random_forest_small,platt,"(0.633, 0.675]",68,0.6555825084610933,0.6764705882352942,0.02088807977420082
random_forest_small,platt,"(0.675, 0.758]",67,0.6983104131332096,0.373134328358209,0.32517608477500065
random_forest_small,isotonic,"(0.199, 0.475]",93,0.39346391040161993,0.5698924731182796,0.1764285627166597
random_forest_small,isotonic,"(0.475, 0.655]",208,0.648404651813567,0.6634615384615384,0.015056886647971446
random_forest_small,isotonic,"(0.655, 0.824]",38,0.823529411764706,0.2631578947368421,0.5603715170278638
gradient_boosting_small,raw,"(0.299, 0.563]",92,0.5209851298972115,0.6304347826086957,0.10944965271148421
gradient_boosting_small,raw,"(0.563, 0.607]",44,0.5842375585108054,0.5454545454545454,0.038783013056259974
gradient_boosting_small,raw,"(0.607, 0.64]",104,0.6331659252464781,0.6923076923076923,0.05914176706121421
gradient_boosting_small,raw,"(0.64, 0.655]",49,0.6533457803752496,0.5102040816326531,0.14314169874259652
gradient_boosting_small,raw,"(0.655, 0.791]",50,0.6964300007641477,0.44,0.25643000076414774
gradient_boosting_small,platt,"(0.6051, 0.6095]",89,0.6088408507802068,0.48314606741573035,0.12569478336447643
gradient_boosting_small,platt,"(0.6095, 0.6099]",64,0.6099121511597777,0.625,0.015087848840222295
gradient_boosting_small,platt,"(0.6099, 0.6108]",50,0.6103221483864048,0.72,0.10967785161359522
