feature,information_value,mutual_information,spearman_correlation,abs_spearman,sample_size,feature_score
expected_total_return,0.01833058265052027,0.2456382792982188,-0.0176903519267814,0.0176903519267814,1694,0.9537037037037037
expected_daily_return,0.01833058265052027,0.2456382792982188,-0.0176903519267814,0.0176903519267814,1694,0.9537037037037037
signal_strength,0.036186848885314475,0.1618570450727026,-0.017516142653636158,0.017516142653636158,1694,0.9074074074074074
weight,0.00256064855520072,0.20790566257071097,0.014930822788812102,0.014930822788812102,1694,0.851851851851852
correlation_diversification_score,0.0,0.022926837184304993,0.0,0.0,1694,0.5370370370370371
target_confidence,0.0,0.01840385520533161,0.0,0.0,1694,0.5185185185185185
downside_risk,0.0,0.01146832568083389,0.0,0.0,1694,0.5
ema_timing_score,0.0,0.00986813722815083,0.0,0.0,1694,0.48148148148148157
cycle_stability_score,0.0,0.0046494144584052766,0.0,0.0,1694,0.462962962962963
hurst_persistence_score,0.0,0.004471274586669516,0.0,0.0,1694,0.4444444444444445
regime_confidence,0.0,0.0010829010141866213,0.0,0.0,1694,0.425925925925926
kalman_trend_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
trend_persistence_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
quality_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
momentum_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
entropy_cleanliness_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
volatility_stability_score,0.0,0.0,0.0,0.0,1694,0.35185185185185186
daily_volatility,0.0,0.0,0.0,0.0,1694,0.35185185185185186
