section,group,sample_size,average_realized_return,median_realized_return,Sharpe,Sortino,hit_rate,TP_rate,SL_rate,portfolio_return_contribution,average_weighted_return_contribution,drawdown_contribution_proxy,avg_signal_strength,avg_meta_probability,avg_weight,avg_realized_return_5d,avg_realized_return_10d,avg_realized_return_20d,avg_realized_return_1d,avg_realized_return_5d_realized,avg_realized_return_10d_realized,avg_realized_return_20d_realized,avg_realized_return_30d,avg_return,weighted_return_lost_or_kept,top_tickers,top_regimes,return_lost_to_cash,avg_rejected_return,avg_rejected_weight,cash_increase,volatility_reduction,sharpe_change,volatility_reduction_compensated_lost_return,filter_too_conservative,portfolio_return_contribution_lost,verdict,recommendation
kept_vs_rejected_trade_quality,kept_by_meta_filter,582.0,0.026197944226029835,0.023274177444277802,0.8380722564024117,1.5113243416835977,0.5962199312714777,0.2697594501718213,0.1718213058419244,1.7519481550031641,0.0030102201975999382,-0.43250932389502095,0.6897945625312819,0.7312330144468979,0.11842479312442736,0.006311715072846436,0.012421839710558416,0.026197944226029835,0.0016566061767660741,0.006311715072846436,0.012421839710558416,0.026197944226029835,0.03299247166533127,,,,,,,,,,,,,,,
kept_vs_rejected_trade_quality,rejected_by_meta_filter,265.0,0.027143681131697198,0.0315032237855077,0.7876552202823581,1.818157849049297,0.5962264150943396,0.2943396226415094,0.2,0.9046720337589234,0.0034138567311657484,-0.22044777548601202,0.7240592329832009,0.5493688021343754,0.1142519637795594,0.008045655253881812,0.01501323397568856,0.027143681131697198,0.002390822272957678,0.008045655253881812,0.01501323397568856,0.027143681131697198,0.039185704460625644,,,,,,,,,,,,,,,
meta_filter_error_types,bad_trades_correctly_filtered,107.0,,,,,,,,,,,,,,,,,,,,,,-0.07446234398740634,-0.8460063175642814,"PEP, CSCO, TXN, COST, VIST","neutral, risk_off",,,,,,,,,,,
meta_filter_error_types,good_trades_incorrectly_filtered,158.0,,,,,,,,,,,,,,,,,,,,,,0.09595282472501415,1.7506783513232045,"NFLX, COST, VIST, CSCO, AVGO","neutral, risk_off",,,,,,,,,,,
meta_filter_error_types,high_volatility_winners_rejected,75.0,,,,,,,,,,,,,,,,,,,,,,0.1273119064191442,1.0651386249194774,"NFLX, CCJ, VIST, AMAT, AVGO","neutral, risk_off",,,,,,,,,,,
meta_filter_error_types,low_confidence_winners_rejected,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
meta_filter_error_types,kept_winners,347.0,,,,,,,,,,,,,,,,,,,,,,0.09197762307549563,3.75991836094529,"VIST, COST, NFLX, CCJ, YPF","neutral, risk_off, risk_on",,,,,,,,,,,
meta_filter_error_types,kept_losers,235.0,,,,,,,,,,,,,,,,,,,,,,-0.07093204964956434,-2.007970205942126,"VIST, PEP, YPF, COST, ADBE","neutral, risk_off, risk_on",,,,,,,,,,,
cash_drag_analysis,rejected_to_cash,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.9046720337589234,0.027143681131697198,0.1142519637795594,0.1376216836435602,0.0230975281202844,-0.2318924351979944,False,True,,,
rejected_by_ticker,AAPL,7.0,-0.029226576738083397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02652351899921305,,
