fold,train_start,train_end,calibration_start,calibration_end,test_start,test_end,train_size,calibration_size,test_size,features,no_lookahead
1,2022-01-03,2023-05-04,2023-05-04,2023-11-01,2023-11-08,2024-02-06,500,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
2,2022-01-03,2023-08-01,2023-08-08,2024-02-06,2024-02-06,2024-05-09,600,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
3,2022-01-03,2023-11-01,2023-11-08,2024-05-09,2024-05-09,2024-08-13,700,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
4,2022-01-03,2024-02-06,2024-02-06,2024-08-13,2024-08-20,2024-11-13,800,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
5,2022-01-03,2024-05-09,2024-05-09,2024-11-13,2024-11-13,2025-02-20,900,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
6,2022-01-03,2024-08-13,2024-08-20,2025-02-20,2025-02-20,2025-05-23,1000,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
7,2022-01-03,2024-11-13,2024-11-13,2025-05-23,2025-05-23,2025-08-20,1100,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
8,2022-01-03,2025-02-20,2025-02-20,2025-08-20,2025-08-27,2025-11-20,1200,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
9,2022-01-03,2025-05-23,2025-05-23,2025-11-20,2025-11-20,2026-02-19,1300,200,100,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
10,2022-01-03,2025-08-20,2025-08-27,2026-02-19,2026-02-26,2026-05-15,1400,200,94,"signal_strength, expected_daily_return, expected_total_return, daily_volatility",True
