data_key,source_file,exists,rows,latest_date,modified
official_performance,growth_official_paper_performance.csv,True,2,2026-07-13,2026-07-13 18:22:41
official_state,growth_official_paper_state.csv,True,8,2026-07-13,2026-07-13 17:50:53
official_actions,growth_official_paper_actions.csv,True,8,2026-07-13,2026-07-13 17:50:53
official_monitor,growth_official_paper_monitor.csv,True,2,2026-07-13,2026-07-13 17:50:53
official_cost_ledger,growth_official_estimated_cost_ledger.csv,True,3,2026-07-10,2026-07-13 10:51:38
official_cost_duplication_audit,official_cost_duplication_audit.csv,True,1,2026-07-10,2026-07-13 09:01:28
official_accounting_audit,official_forward_accounting_audit.csv,True,1,2026-07-13,2026-07-13 09:01:28
official_benchmark_daily,growth_official_benchmark_daily.csv,True,2,2026-07-13,2026-07-13 18:22:48
official_benchmark_equity,growth_official_benchmark_equity.csv,True,2,2026-07-13,2026-07-13 18:22:48
official_integrity,official_paper_integrity_status.csv,True,1,2026-07-13,2026-07-13 17:50:53
official_daily_status,official_paper_daily_run_status.csv,True,2,2026-07-13,2026-07-13 17:50:53
official_market_data_governance,official_market_data_governance.csv,True,1,,2026-07-13 17:50:53
official_market_data_integrity,official_market_data_integrity.csv,True,5,2026-07-13,2026-07-13 17:50:53
market_data_governance,market_data_governance.csv,True,1,,2026-07-13 17:51:04
vol_pipeline_audit,growth_volatility_pipeline_audit.csv,True,16,2026-07-13,2026-07-13 17:50:50
current_features,current_growth_features.csv,True,266,2026-07-13,2026-07-13 17:50:51
current_allocation,current_growth_candidate_allocation.csv,True,4,2026-07-13,2026-07-13 17:50:51
current_raw_target_features,current_raw_target_features.csv,True,266,2026-07-13,2026-07-13 17:50:50
top20_candidates,growth_top20_candidates.csv,True,40,2026-07-13,2026-07-14 15:50:02
rebalance_schedule,growth_rebalance_schedule.csv,True,882,2026-07-13,2026-07-13 17:50:53
decision_funnel,growth_decision_funnel.csv,True,10,2026-07-13,2026-07-14 15:50:02
anti_overfitting_governance,anti_overfitting_governance.csv,True,1,,2026-07-12 15:52:26
out_of_sample_governance,out_of_sample_governance.csv,True,1,,2026-07-12 16:16:06
parameter_governance,parameter_governance.csv,True,1,,2026-07-12 18:02:04
growth_canonical_governance,growth_canonical_governance.csv,True,1,,2026-07-12 18:43:44
quant_lab_source_audit,quant_lab_source_audit.csv,True,14,2026-07-13,2026-07-14 16:33:00
quant_lab_surface_integrity,quant_lab_surface_integrity.csv,True,12,,2026-07-14 16:33:00
historical_replay_integrity,historical_replay_integrity.csv,True,2,2026-07-13,2026-07-14 17:26:09
historical_replay_validation,historical_replay_validation.csv,True,2,2026-07-13,2026-07-14 17:26:09
