date,baseline_only,full_quant_only,overlap,overlap_count,jaccard_overlap
2022-06-21,[],[],"['AMD', 'CCJ', 'COST', 'NFLX']",4,1.0
2022-06-28,[],[],"['AMD', 'CCJ', 'COST', 'NFLX']",4,1.0
2022-07-06,"['PEP', 'VIST']","['AMD', 'CCJ']","['COST', 'NFLX']",2,0.3333333333333333
2022-07-13,['NVDA'],['AMD'],"['CCJ', 'COST', 'NFLX']",3,0.6
2022-07-20,"['CCJ', 'NFLX']",['AAPL'],"['COST', 'QCOM']",2,0.4
2022-07-27,['TXN'],['TSLA'],"['AAPL', 'NFLX', 'QCOM']",3,0.6
2022-08-03,['CSCO'],['PEP'],"['AAPL', 'QQQ', 'TXN']",3,0.6
2022-08-10,['VIST'],['NFLX'],"['ADBE', 'AMZN', 'YPF']",3,0.6
2022-08-17,"['AAPL', 'CCJ', 'COST']","['MSFT', 'NFLX']",['YPF'],1,0.16666666666666666
2022-08-24,['VIST'],['SPY'],['YPF'],1,0.3333333333333333
2022-08-31,[],[],"['VIST', 'YPF']",2,1.0
2022-09-08,"['COST', 'QCOM', 'QQQ']",['CCJ'],['YPF'],1,0.2
2022-09-15,[],[],"['VIST', 'YPF']",2,1.0
2022-09-22,['VIST'],['COST'],['YPF'],1,0.3333333333333333
2022-09-29,['COST'],[],"['NFLX', 'VIST', 'YPF']",3,0.75
2022-10-06,"['COST', 'PEP']",[],"['VIST', 'YPF']",2,0.5
2022-10-13,"['COST', 'PEP']",[],"['VIST', 'YPF']",2,0.5
2022-10-20,['AMZN'],[],"['NFLX', 'VIST', 'YPF']",3,0.75
2022-10-27,"['ADBE', 'COST']","['NFLX', 'YPF']","['PEP', 'VIST']",2,0.3333333333333333
2022-11-03,"['CSCO', 'PEP']",[],"['VIST', 'YPF']",2,0.5
