model_ticker,available_as_cedear,byma_ticker,underlying_ticker,exchange,ratio,match_type,requires_manual_confirmation,notes
AAPL,True,AAPL,AAPL,NASDAQ,20:1,exact_match,False,matched_by_underlying_or_byma_ticker
NVDA,True,NVDA,NVDA,NASDAQ,24:1,exact_match,False,matched_by_underlying_or_byma_ticker
MSTR,True,MSTR,MSTR,NASDAQ GS,20:1,exact_match,False,matched_by_underlying_or_byma_ticker
SNAP,True,SNAP,SNAP,NYSE,1:1,exact_match,False,matched_by_underlying_or_byma_ticker
OKLO,True,OKLO,OKLO,NYSE,28:1,exact_match,False,matched_by_underlying_or_byma_ticker
JMIA,True,JMIA,JMIA,NYSE,1:1,exact_match,False,matched_by_underlying_or_byma_ticker
XYZ,True,XYZ,XYZ,NYSE,20:1,exact_match,False,matched_by_underlying_or_byma_ticker
RKLB,True,RKLB,RKLB,NASDAQ,12:1,exact_match,False,matched_by_underlying_or_byma_ticker
RBLX,True,RBLX,RBLX,NYSE,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
AVGO,True,AVGO,AVGO,NASDAQ,39:1,exact_match,False,matched_by_underlying_or_byma_ticker
INTC,True,INTC,INTC,NASDAQ,5:1,exact_match,False,matched_by_underlying_or_byma_ticker
TWLO,True,TWLO,TWLO,NYSE,36:1,exact_match,False,matched_by_underlying_or_byma_ticker
SPOT,True,SPOT,SPOT,NYSE,28:1,exact_match,False,matched_by_underlying_or_byma_ticker
TEAM,True,TEAM,TEAM,NASDAQ GS,47:1,exact_match,False,matched_by_underlying_or_byma_ticker
SPCE,True,SPCE,SPCE,NYSE,1:2,exact_match,False,matched_by_underlying_or_byma_ticker
SNOW,True,SNOW,SNOW,NYSE,30:1,exact_match,False,matched_by_underlying_or_byma_ticker
TSM,True,TSM,TSM,NYSE,9:1,exact_match,False,matched_by_underlying_or_byma_ticker
LRCX,True,LRCX,LRCX,NASDAQ,56:1,exact_match,False,matched_by_underlying_or_byma_ticker
TSLA,True,TSLA,TSLA,NASDAQ,15:1,exact_match,False,matched_by_underlying_or_byma_ticker
ASTS,True,ASTS,ASTS,NASDAQ,15:1,exact_match,False,matched_by_underlying_or_byma_ticker
RGTI,True,RGTI,RGTI,NASDAQ CM,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
KEEL,True,KEEL,KEEL,NASDAQ GM,1:5,exact_match,False,matched_by_underlying_or_byma_ticker
CCJ,True,CCJ,CCJ,NYSE,23:1,exact_match,False,matched_by_underlying_or_byma_ticker
YPF,False,,,,,still_missing,True,questionable_mapping_requires_manual_confirmation:Only allow if YPF is present in the CEDEAR source; current pasted list search did not confirm it.
VIST,True,VIST,VIST,NYSE,3:1,exact_match,False,matched_by_underlying_or_byma_ticker
ASML,True,ASML,ASML,NASDAQ GS,146:1,exact_match,False,matched_by_underlying_or_byma_ticker
ARM,True,ARM,ARM,NASDAQ,27:1,exact_match,False,matched_by_underlying_or_byma_ticker
BABA,True,BABA,BABA,NYSE,9:1,exact_match,False,matched_by_underlying_or_byma_ticker
TCEHY,False,,,,,still_missing,False,not_found_in_cedear_list
TM,True,TM,TM,NYSE,15:1,exact_match,False,matched_by_underlying_or_byma_ticker
SONY,True,SONY,SONY,NYSE,8:1,exact_match,False,matched_by_underlying_or_byma_ticker
NVO,True,NVO,NVO,NYSE,7:1,exact_match,False,matched_by_underlying_or_byma_ticker
SAP,True,SAP,SAP,NYSE,6:1,exact_match,False,matched_by_underlying_or_byma_ticker
SHEL,True,SHEL,SHEL,NYSE,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
BP,True,BP,BP,NYSE,5:1,exact_match,False,matched_by_underlying_or_byma_ticker
RIO,True,RIO,RIO,NYSE,8:1,exact_match,False,matched_by_underlying_or_byma_ticker
BHP,True,BHP,BHP,NYSE,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
VALE,True,VALE,VALE,NYSE,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
MELI,True,MELI,MELI,NASDAQ,120:1,exact_match,False,matched_by_underlying_or_byma_ticker
SHOP,True,SHOP,SHOP,NYSE,107:1,exact_match,False,matched_by_underlying_or_byma_ticker
SE,True,SE,SE,NYSE,32:1,exact_match,False,matched_by_underlying_or_byma_ticker
NU,True,UN,UN,NYSE,2:1,alias_match,False,alias:BYMA CEDEAR code UN maps to NU Holdings Ltd/Cayman Islands.
PBR,True,PBR,PBR,NYSE,1:1,exact_match,False,matched_by_underlying_or_byma_ticker
EC,False,,,,,still_missing,False,not_found_in_cedear_list
GLOB,True,GLOB,GLOB,NYSE,18:1,exact_match,False,matched_by_underlying_or_byma_ticker
UBER,True,UBER,UBER,NYSE,2:1,exact_match,False,matched_by_underlying_or_byma_ticker
COIN,True,COIN,COIN,NASDAQ,27:1,exact_match,False,matched_by_underlying_or_byma_ticker
