date,run_time,model_version,official_updated,status,rebalance_due,monitoring_only,next_rebalance,state_rows_added,trades_rows_added,actions_rows_added,performance_rows_added,monitor_rows_added,data_status,integrity_status,real_orders
2026-07-10,2026-07-13T10:51:38,growth_champion_final_v1_0_frozen,True,ok,True,False,,4.0,3.0,4.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-13,2026-07-13T17:50:53,growth_champion_final_v1_0_frozen,True,ok,False,True,,4.0,0.0,4.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-14,2026-07-15T07:07:36,growth_champion_final_v1_0_frozen,True,ok,False,True,,4.0,0.0,4.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-15,2026-07-15T21:58:27,growth_champion_final_v1_0_frozen,True,ok,False,True,,4.0,0.0,4.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-17,2026-07-19T15:12:05,growth_champion_final_v1_0_frozen,True,ok,True,False,,5.0,5.0,6.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-20,2026-07-21T09:18:30,growth_champion_final_v1_0_frozen,True,ok,False,True,,5.0,0.0,5.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-23,2026-07-23T11:16:09,growth_champion_final_v1_0_frozen,True,ok,False,True,,5.0,0.0,5.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-24,2026-07-24T19:28:39,growth_champion_final_v1_0_frozen,True,ok,True,False,,5.0,5.0,6.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-07-27,2026-07-28T09:38:03,growth_champion_final_v1_0_frozen,True,ok,False,True,,5.0,0.0,5.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
2026-08-13,2026-08-13T15:46:19,growth_champion_final_v1_0_frozen,True,ok,False,True,,5.0,0.0,5.0,1.0,1.0,SINGLE_SOURCE_FRESH,PASS,False
