rank_bucket,observations,average_asset_return,hit_rate,raw_target_rank
top_10,7990,0.007254595432145082,0.5297872340425532,
top_20,8966,0.007529886146795988,0.5345750613428508,
top_50,9842,0.007263037155928153,0.5347490347490348,
rank_1,2627,0.009973388557664348,,1.0
rank_2,2627,0.005346050272150964,,2.0
rank_3,702,0.009618996486502586,,3.0
rank_4,494,-0.001137838571872221,,4.0
rank_5,410,0.0072118397116293234,,5.0
rank_6,295,0.014021777760964041,,6.0
rank_7,240,0.00829738399330207,,7.0
rank_8,229,0.0007067755179601361,,8.0
rank_9,188,0.002419930513524354,,9.0
rank_10,178,0.010270556225247593,,10.0
rank_11,154,0.008757574470111256,,11.0
rank_12,122,0.019231939727096577,,12.0
rank_13,108,0.003681219449045043,,13.0
rank_14,118,0.016792546484123157,,14.0
rank_15,111,0.0077506290632403715,,15.0
rank_16,88,0.0005377506369690573,,16.0
rank_17,83,0.007157596451180348,,17.0
rank_18,61,0.015568622932736014,,18.0
rank_19,56,0.004439217521138227,,19.0
rank_20,75,0.010329090946743386,,20.0
rank_21,52,0.009739445096723996,,21.0
rank_22,50,0.004900947846052827,,22.0
rank_23,59,0.005002423664554732,,23.0
rank_24,47,0.011128436210965252,,24.0
rank_25,41,0.025766124526185347,,25.0
rank_26,49,-0.008305927272015876,,26.0
rank_27,34,-0.015107567785338354,,27.0
rank_28,34,0.012163095572078461,,28.0
rank_29,37,0.004079770715593789,,29.0
rank_30,29,-0.000891201521353027,,30.0
rank_31,34,0.0067451448590320415,,31.0
rank_32,29,0.004552038570212921,,32.0
rank_33,24,-0.003110268912666938,,33.0
rank_34,27,0.009966473393828178,,34.0
rank_35,27,0.01978511255803314,,35.0
rank_36,31,-0.010190974169801158,,36.0
rank_37,24,-0.012652000354862726,,37.0
rank_38,33,0.020799578165022665,,38.0
rank_39,24,-0.0036163395930765584,,39.0
rank_40,18,-0.010613359358191906,,40.0
rank_41,25,-0.018637867224072825,,41.0
rank_42,19,0.021856751501620364,,42.0
rank_43,17,0.010962675898495916,,43.0
rank_44,17,0.010503499790285163,,44.0
rank_45,17,0.005369723112442012,,45.0
rank_46,17,-0.01326799325695789,,46.0
rank_47,18,0.02268519658057812,,47.0
rank_48,23,-0.00698160543236858,,48.0
rank_49,8,0.03921994984567728,,49.0
rank_50,12,0.008773442223975983,,50.0
